,STR_ESID,Name,wikiQLabel,wikiQ,instance
81,10110179,Im Zimmerhof,Im Zimmerhof,,
82,10087592,Oberalpstrasse,Oberalp,http://www.wikidata.org/entity/Q20759477,Wikimedia-Begriffsklärungsseite
83,10089619,Totentanz,Totentanz,http://www.wikidata.org/entity/Q473450,Sujet
84,10088581,Offenburgerstrasse,Offenburger,http://www.wikidata.org/entity/Q37024120,Familienname
85,10087601,Oekolampadstrasse,Oekolampad,,
86,10025055,Friedrichstrasse,Friedrich,http://www.wikidata.org/entity/Q63086,Mensch
87,10063539,Laufenstrasse,Laufen,http://www.wikidata.org/entity/Q105674,Sportdisziplin
88,10104862,In den Habermatten,In den Habermatten,,
89,10025112,Wittlingerstrasse,Wittlinger,http://www.wikidata.org/entity/Q15115474,Wikimedia-Begriffsklärungsseite
90,10055755,Hunnenstrasse,Hunnen,http://www.wikidata.org/entity/Q45813,Stamm
91,10110166,Elisabethenstrasse,Elisabethen,,
92,10063823,Pilgerstrasse,Pilger,http://www.wikidata.org/entity/Q2094919,Wikimedia-Begriffsklärungsseite
93,10025351,Elisabethen-Passage,Elisabethen,,
94,10026577,Im Baumgarten,Im Baumgarten,http://www.wikidata.org/entity/Q100540346,Innerortsstraße
95,10181203,Hinter der Mühle,Hinter der Mühle,http://www.wikidata.org/entity/Q100426276,Innerortsstraße
96,10222546,Breitmattenweg,Breitmatten,,
97,10087599,Markircherstrasse,Markircher,,
98,10179988,Voltaplatz,Volta,http://www.wikidata.org/entity/Q174563,Album
99,10055195,Klosterberg,Klosterberg,http://www.wikidata.org/entity/Q160733,Berg
100,10088583,Rennweg,Renn,http://www.wikidata.org/entity/Q2144028,Wikimedia-Begriffsklärungsseite
101,10088587,Schneidergasse,Schneider,http://www.wikidata.org/entity/Q136948,Taxon
102,10026512,Südquaistrasse,Südquai,,
103,10120298,Sattelgasse,Sattel,http://www.wikidata.org/entity/Q65465,politische Gemeinde
104,10161973,Gottesackerstrasse,Gottesacker,http://www.wikidata.org/entity/Q1451380,Karst
105,10088580,Ochsengasse,Ochsen,http://www.wikidata.org/entity/Q2013543,Wikimedia-Begriffsklärungsseite
106,10026578,Im Hirshalm,Im Hirshalm,,
107,10063537,Klingentalgraben,Klingental,,
108,10025113,Wollbacherstrasse,Wollbacher,,
109,10087590,In den Ziegelhöfen,In den Ziegelhöfen,,
110,10026780,In den Klostermatten,In den Klostermatten,,
111,10104856,Leonhardsstrasse,Leonhards,http://www.wikidata.org/entity/Q83495247,Familienname
112,10126058,Leuengasse,Leuen,,
113,10118103,Rütiring,Rüti,http://www.wikidata.org/entity/Q69752,politische Gemeinde
114,10103023,Sieglinweg,Sieglin,http://www.wikidata.org/entity/Q1270520,Wikimedia-Begriffsklärungsseite
115,10025127,Lerchenstrasse,Lerchen,http://www.wikidata.org/entity/Q29858,Taxon
116,10087594,Tessinstrasse,Tessin,http://www.wikidata.org/entity/Q14366,Fluss
117,10026277,Habermarkweg,Habermark,,
118,10087578,Duggingerhof,Duggingerhof,,
119,10120973,Blotzheimerstrasse,Blotzheimer,,
120,10026492,Wasensträsschen,Wasensträsschen,,
121,10089606,Augustinergasse,Augustiner,http://www.wikidata.org/entity/Q214528,Ordensgemeinschaft
122,10026269,Eisenbahnweg,Eisenbahn,http://www.wikidata.org/entity/Q1311394,Wikimedia-Begriffsklärungsseite
123,10087612,Badenstrasse,Baden,http://www.wikidata.org/entity/Q63939,politische Gemeinde
124,10088568,Hardstrasse,Hard,http://www.wikidata.org/entity/Q295116,Wikimedia-Begriffsklärungsseite
125,10104858,Schlettstadterstrasse,Schlettstadter,,
126,10026783,Kastanienweg,Kastanien,http://www.wikidata.org/entity/Q129324,Taxon
127,10068286,Wenkenstrasse,Wenken,,
128,10026821,Erstfeldstrasse,Erstfeld,http://www.wikidata.org/entity/Q69642,politische Gemeinde
129,10026815,Bernerring,Berner,http://www.wikidata.org/entity/Q343057,Wikimedia-Begriffsklärungsseite
130,10025140,Im Wenkenberg,Im Wenkenberg,,
131,10058920,Karl Barth-Platz,Karl Barth,http://www.wikidata.org/entity/Q107473,Mensch
132,10243656,Beckenweg,Becken,http://www.wikidata.org/entity/Q190172,Instrumentenfamilie
133,10087604,Am Bachgraben,Am Bach,http://www.wikidata.org/entity/Q111700,Wikimedia-Begriffsklärungsseite
134,10089611,Mostackerstrasse,Mostacker,,
135,10118095,Mariasteinstrasse,Mariastein,http://www.wikidata.org/entity/Q700645,Gemeinde in Österreich
136,10187811,Helfenbergstrasse,Helfenberg,http://www.wikidata.org/entity/Q679532,Gemeinde in Österreich
137,10121153,Kaltbrunnen-Promenade,Kaltbrunnen,,
138,10026482,Flughafenstrasse,Flughafen,http://www.wikidata.org/entity/Q3746821,Wikimedia-Begriffsklärungsseite
139,10089622,Beim Letziturm,Beim Letziturm,,
140,10025344,Martinsgässlein,Martins,http://www.wikidata.org/entity/Q451665,Wikimedia-Begriffsklärungsseite
141,10063869,Oberdorfstrasse,Oberdorf,http://www.wikidata.org/entity/Q70237,politische Gemeinde
142,10026532,Maulbeerstrasse,Maulbeer,,
143,10063851,Zwingerstrasse,Zwinger,http://www.wikidata.org/entity/Q155107,Palast
144,10120307,Schulgasse,Schul,http://www.wikidata.org/entity/Q2250781,Wikimedia-Begriffsklärungsseite
145,10087619,Uferstrasse,Ufer,http://www.wikidata.org/entity/Q1145238,Wikimedia-Begriffsklärungsseite
146,10025118,Bruderholzallee,Bruderholz,http://www.wikidata.org/entity/Q255746,Berg
147,10175697,Schäferstrasse,Schäfer,http://www.wikidata.org/entity/Q81710,Beruf
148,10045932,Maienbühlsträsschen,Maienbühlsträsschen,,
149,10025043,Rümelinbachweg,Rümelinbach,http://www.wikidata.org/entity/Q1685785,Fluss
150,10181179,Rüdengasse,Rüden,http://www.wikidata.org/entity/Q17127213,Wikimedia-Begriffsklärungsseite
151,10179481,Birseckstrasse,Birseck,http://www.wikidata.org/entity/Q686543,Region
152,10026582,Kirchplatz,Kirch,http://www.wikidata.org/entity/Q1217696,Wikimedia-Begriffsklärungsseite
153,10175159,Oetlingerstrasse,Oetlinger,,
154,10026526,Im Surinam,Im Surinam,,
155,10026271,Erlensträsschen,Erlensträsschen,,
156,10144811,Meret Oppenheim-Strasse,Meret Oppenheim,http://www.wikidata.org/entity/Q61594,Mensch
157,10153153,Im Schmiedenhof,Im Schmiedenhof,,
158,10068285,Weilmattweg,Weilmatt,,
159,10088586,Schaffhauserrheinweg,Schaffhauserrhein,,
160,10068283,Steinbrecheweg,Steinbreche,http://www.wikidata.org/entity/Q20818780,Ortsteil
161,10026525,Im Rheinacker,Im Rheinacker,,
162,10025104,Reverenzgässlein,Reverenz,http://www.wikidata.org/entity/Q20182638,Begriff
163,10025634,Eisengasse,Eisen,http://www.wikidata.org/entity/Q677,chemisches Element
164,10025638,Fasanenstrasse,Fasanen,,
165,10088573,Leimenstrasse,Leimen,http://www.wikidata.org/entity/Q23007,Große Kreisstadt
166,10026809,Schillerstrasse,Schiller,http://www.wikidata.org/entity/Q224031,Wikimedia-Begriffsklärungsseite
167,10110167,Hüningerstrasse,Hüninger,,
168,10134722,Hexenweglein,Hexenweglein,,
169,10222525,Hinterengeliweg,Hinterengeli,,
170,10026788,Nasenweg,Nasen,http://www.wikidata.org/entity/Q1965603,Wikimedia-Begriffsklärungsseite
171,10063525,Gustav Wenk-Strasse,Gustav Wenk,http://www.wikidata.org/entity/Q1556519,Mensch
172,10179475,Badenweilerstrasse,Badenweiler,http://www.wikidata.org/entity/Q25430,Gemeinde in Deutschland
173,10188092,Gartengasse,Garten,http://www.wikidata.org/entity/Q529063,Wikimedia-Begriffsklärungsseite
174,10025121,Faidostrasse,Faido,http://www.wikidata.org/entity/Q69673,politische Gemeinde
175,10025119,Bürenfluhstrasse,Bürenfluh,,
176,10025935,Münchensteinerstrasse,Münchensteiner,,
177,10026596,Schlipfweg,Schlipf,http://www.wikidata.org/entity/Q37543890,Familienname
