,Id Strasse,Strassenname,Erklärung erste Zeile,Erklärung zweite Zeile,Geo Shape,Geo Point,Erstmals erwähnt,Amtlich benannt,Indextext,Kurztext
830,958,Wettsteinplatz,"Johann Rudolf Wettstein (1594–1666),",Bürgermeister und Diplomat (Westfälischer Frieden),"{""coordinates"": [[[7.598907637638162, 47.55912251091814], [7.59887118384728, 47.55901342215984], [7.598598110572665, 47.55887367507957], [7.59825555869377, 47.558843449256145], [7.598114100930004, 47.558893827963225]], [[7.598114100930004, 47.558893827963225], [7.597972642924503, 47.558944215490335], [7.597864204901184, 47.559111449212935], [7.597815930744011, 47.55918592927703], [7.597815441700748, 47.55919124523833], [7.597815072263635, 47.559196570029975], [7.597814809146098, 47.55920190367005], [7.597814652294534, 47.55920722817123], [7.597814615049225, 47.55921256150276], [7.597814684069953, 47.55921788569534], [7.597814872697001, 47.55922321871825], [7.597815167590158, 47.55922854260225], [7.597815568776272, 47.55923386634105], [7.597816076228565, 47.55923918094093], [7.597816703260494, 47.559244495377435], [7.597817436558667, 47.559249800675076], [7.597818289436543, 47.55925510580926], [7.597819235267293, 47.55926039282903], [7.597820313937617, 47.55926567067358], [7.597821485587689, 47.55927093939734], [7.597822776790789, 47.559276198964035], [7.597824160973698, 47.55928144940995], [7.597825664682884, 47.559286681705075], [7.597827287918365, 47.559291895849405], [7.597829004133749, 47.559297100872975], [7.597830839848687, 47.559302278752035], [7.597832768543574, 47.55930744751035], [7.597834816738073, 47.55931258912413], [7.597836971199221, 47.55931772159893], [7.597839231873402, 47.559322826947415], [7.59784159876065, 47.55932790516948], [7.59784407191463, 47.559332974252676], [7.597846651254907, 47.55933800721571], [7.597849323548508, 47.55934302206423], [7.597852115315105, 47.55934800077457], [7.597855000035072, 47.5593529613703], [7.597927041139264, 47.559424425995914]], [[7.59882647539099, 47.55942113335432], [7.59888256405486, 47.55936540304242], [7.598886690212614, 47.55935897584605], [7.598890630221399, 47.5593525039369], [7.598894384027277, 47.55934596932766], [7.598897964997941, 47.55933939898102], [7.598901769302628, 47.55933198291671], [7.598905347571475, 47.55932451320074], [7.598908686517915, 47.559316989851524], [7.598911799455683, 47.55930942184443], [7.598914673125235, 47.55930181819146], [7.59891732078629, 47.55929416988067], [7.598919729179332, 47.559286485923984], [7.598921898331444, 47.5592787753152], [7.598923841421343, 47.55927100206123], [7.59892554529752, 47.5592632111489], [7.598926996646453, 47.55925539360264], [7.598928222068496, 47.559247558379745], [7.598929194990506, 47.55923970551669], [7.598929928699219, 47.5592318349953], [7.598930423248746, 47.55922396480285], [7.598930678612178, 47.55921608594577], [7.598930697625038, 47.559209142761496], [7.598930530625438, 47.55920219983311], [7.598930177613446, 47.5591952571606], [7.598929625329542, 47.559188323755976], [7.598907637638162, 47.55912251091814]], [[7.597927041139264, 47.559424425995914], [7.597989834047895, 47.5594867116344], [7.597997155437679, 47.55949129741591], [7.598004609453874, 47.55949580207198], [7.598012169469445, 47.55950020765161], [7.598019848824738, 47.55950453212391], [7.598027634179386, 47.55950875751976], [7.598035538820018, 47.559512883820865], [7.598043536200142, 47.55951692005729], [7.598051652866225, 47.55952085719897], [7.598059848931349, 47.55952468630672], [7.598068137709024, 47.559528416356045], [7.598076532459047, 47.55953203833497], [7.598085019948425, 47.55953557024919], [7.598093600096545, 47.55953898511753], [7.598102272983965, 47.55954230992102], [7.598111025243361, 47.55954551769674], [7.59811985692843, 47.55954862643214], [7.598222091157381, 47.55956841655492]], [[7.598222091157381, 47.55956841655492], [7.598324312148967, 47.55958819761185], [7.598336192342815, 47.559588810890425], [7.598348085312443, 47.559589253269465], [7.598359991030825, 47.55958951575525], [7.598371909551656, 47.55958961633521], [7.598383814247605, 47.55958953705831], [7.598395731745775, 47.55958929587558], [7.598407622132131, 47.55958887485422], [7.598419512033784, 47.55958829194529], [7.598431361536686, 47.55958752921597], [7.598443197241036, 47.559586595623564], [7.598455005860029, 47.55958549118632], [7.598466760820147, 47.55958421594057], [7.598478488694681, 47.55958276985005], [7.598490162910123, 47.559581152951175], [7.598501783493295, 47.55957937423758], [7.598513337130456, 47.55957742473388], [7.598524279390137, 47.55957541311186], [7.598535154784509, 47.559573257680924], [7.598545963259621, 47.55957094045375], [7.598556704896192, 47.559568488411365], [7.598567379640276, 47.55956588356651], [7.598577960945337, 47.559563134949215], [7.598588462071065, 47.559560233547685], [7.598598869784571, 47.55955719736756], [7.598604843352794, 47.559555372433685], [7.598610790212478, 47.55955350256753], [7.598616710363601, 47.55955158776913], [7.598622577232771, 47.5595496280749], [7.598628443939798, 47.559547614418264], [7.598634244078154, 47.55954555588409], [7.59864001750791, 47.559543452417664], [7.598645764229046, 47.559541304019014], [7.598651457668183, 47.55953911072459], [7.598657111111998, 47.55953687251615], [7.598662737847172, 47.55953458937553], [7.59866831130031, 47.55953226133916], [7.59867385804479, 47.55952988837057], [7.59867935150722, 47.559527470506254], [7.598684804974287, 47.559525007728006], [7.598690218472938, 47.55952250902945], [7.598695591949243, 47.559519956423294], [7.598700912170439, 47.55951736791512], [7.598706192423209, 47.559514743486694], [7.598711432653607, 47.55951206515067], [7.598716606342203, 47.55950935093089], [7.598721753349026, 47.559506600772636], [7.598726847073761, 47.55950380571872], [7.598731887516386, 47.559500965769146], [7.598736874703876, 47.55949808991761], [7.598741821922907, 47.559495178145895], [7.598746702573144, 47.559492221496804], [7.598751543254916, 47.55948922892749], [7.59875633065457, 47.55948619146256], [7.598761064826048, 47.5594831270894], [7.598765745715408, 47.55948001782063], [7.59877037334962, 47.559476872649974], [7.59882647539099, 47.55942113335432]]], ""type"": ""MultiLineString""}","47.55921647078241,7.59837646847622",,1878,WET,Wettsteinplatz
833,83,Brennerstrasse,"Ernst Brenner (1856–1911), Regierungsrat,",Nationalrat und erster baselstädtischer Bundesrat,"{""coordinates"": [[7.574634013878883, 47.55135140781803], [7.574362505689361, 47.551478634892014], [7.572045743055453, 47.5525642358421]], ""type"": ""LineString""}","47.55195782268265,7.573339878866681",,1912,BRE,Brennerstr.
835,329,Karl Barth-Platz,"Karl Barth (1886–1968), Universitätsprofessor,","Theologe, Mitbegründer der Bekennenden Kirche","{""coordinates"": [[[7.60913311939453, 47.547948649281004], [7.609154904911414, 47.547857168759414], [7.609224547175398, 47.54781409453947], [7.609288289678705, 47.54777466240506], [7.609352032058535, 47.5477352212412], [7.609415761088696, 47.54769578905495], [7.609525652772867, 47.54762782382125], [7.609655864672153, 47.54761676818526]], [[7.609655864672153, 47.54761676818526], [7.609657112994194, 47.54761665842664], [7.609785904492383, 47.5476059195122], [7.61012511382586, 47.54785665235815], [7.610144488273852, 47.54797034101572]], [[7.609172489429512, 47.54815967533043], [7.609172422636791, 47.54815955850927], [7.609109380768036, 47.54804835295723], [7.60913311939453, 47.547948649281004]], [[7.610144488273852, 47.54797034101572], [7.610144691431937, 47.54797155487505], [7.610161142483568, 47.54808492405545], [7.60977170063186, 47.5482138830684], [7.609536107839187, 47.54829189922983], [7.609427992649541, 47.54828444912453]], [[7.609427992649541, 47.54828444912453], [7.60923500107047, 47.54827115143382], [7.609172489429512, 47.54815967533043]]], ""type"": ""MultiLineString""}","47.5479667413588,7.609627012785634",,1970,BAR,Karl Barth-Platz
841,597,Theodor Herzl-Strasse,"Theodor Herzl (1860–1904), Schriftsteller und",Begründer des modernen politischen Zionismus,"{""coordinates"": [[[7.558835016396284, 47.5659739642622], [7.558640463939239, 47.5655188763617], [7.55853997144713, 47.5653498170999]], [[7.5602189911451, 47.56930890356731], [7.560137373725169, 47.56911795360532], [7.559936478976283, 47.568647927463694], [7.559768760034546, 47.56825557197391], [7.559671945951805, 47.56801290566559], [7.559421736795646, 47.567427441546066], [7.559329634568063, 47.56716324809752]], [[7.559072961659546, 47.56653055484132], [7.558983310785184, 47.56632084232321], [7.558835016396284, 47.5659739642622]], [[7.559329634568063, 47.56716324809752], [7.55926889776328, 47.566988968094144], [7.559072961659546, 47.56653055484132]]], ""type"": ""MultiLineString""}","47.56732356502377,7.559390910700917",1877,1960,THE,Theodor Herzl-Str.
847,135,Edisonstrasse,"Thomas Edison (1847–1931), amerikanischer Erfinder,",verweist auf das ehemalige Dampfkraftwerk Volta,"{""coordinates"": [[7.58372632411905, 47.546270324743666], [7.583523560167555, 47.546366135726025], [7.582569853871123, 47.5468167267187], [7.58248297922874, 47.54684132397644]], ""type"": ""LineString""}","47.54656235450947,7.583107099960769",,1924,EDI,Edisonstr.
852,335,Lachenalweglein,"Wernhard de Lachenal (1736–1800),",Arzt und Professor der Anatomie und Botanik,"{""coordinates"": [[[7.612369150421124, 47.538739800100096], [7.612440177163794, 47.538702180954004], [7.61273821090339, 47.53883130925024], [7.612813437419233, 47.53886379024144], [7.612817867556914, 47.53886605004982], [7.612822244686313, 47.53886834591253], [7.612826582118298, 47.538870686803484], [7.61283089307569, 47.53887305471527], [7.612835137743303, 47.53887545870123], [7.612839355965673, 47.53887789870186], [7.612843521150431, 47.53888036576303], [7.612847646637791, 47.538882877852494], [7.612851732369054, 47.5388854169827], [7.612855765092054, 47.538887992167204], [7.612859744806799, 47.538890603406124], [7.612863684765449, 47.5388932416858], [7.612867584997358, 47.538895915999966], [7.612871418939488, 47.53889862638843], [7.612875213096169, 47.538901354823906], [7.612878967555468, 47.5389041282876], [7.612882655695625, 47.538906928831885], [7.612886304079691, 47.53890975641694], [7.612889899426131, 47.53891261106262], [7.612893441764307, 47.538915501762766], [7.612896931064858, 47.53891841952354], [7.612900367327778, 47.538921364345], [7.612903750553068, 47.53892433622715], [7.612907080740722, 47.53892733516996], [7.612910357890728, 47.53893036117354], [7.612913582003092, 47.538933414237725], [7.612916739796287, 47.53893649438253], [7.612919857833345, 47.53893960156817], [7.612922909551225, 47.53894273583437], [7.612925908231432, 47.53894589716128], [7.612928853844616, 47.538949076555205], [7.61293173313859, 47.538952283029694], [7.612962700680617, 47.53898731246683], [7.613290097351101, 47.539285208906485], [7.613315308541243, 47.53931034471317], [7.613349856378861, 47.53929883477341], [7.613422454526338, 47.53927464041065], [7.613674302608252, 47.53918986422457]], [[7.614686987571757, 47.539527691009106], [7.615678098750001, 47.539776296306584], [7.615646181575698, 47.53990415565626]]], ""type"": ""MultiLineString""}","47.53930312213153,7.61397083580726",,1982,LAC,Lachenalweglein
861,849,Kartausgasse,"Kartause, 1408–1416 erbautes Männerkloster,",1564 aufgehoben,"{""coordinates"": [[7.595497899846305, 47.558891497296585], [7.595609683063536, 47.55887903435638], [7.596519266971922, 47.558761579552524]], ""type"": ""LineString""}","47.55882740312662,7.596008687434441",1281,1878,KAR,Kartausgasse
862,679,Bungestrasse,"Gustav von Bunge (1844–1920), Arzt und",Sozialmediziner (Abstinenzbewegung),"{""coordinates"": [[[7.563438043254515, 47.56718575673438], [7.563532826188204, 47.567308779041646], [7.563539450477333, 47.56731726200146], [7.563546194282384, 47.56732570885822], [7.563553070850023, 47.56733410161033], [7.563560066912657, 47.56734244926568], [7.563567195737956, 47.56735074281628], [7.563574444058336, 47.56735899127009], [7.563581825141463, 47.56736718561916], [7.563589325698719, 47.56737532587763], [7.563596945751146, 47.56738342103929], [7.563604685277781, 47.5673914621103], [7.563612557567302, 47.56739944907646], [7.56362054931006, 47.56740737295834], [7.563628647259457, 47.56741525175741], [7.563636877950809, 47.567423067457916], [7.563645214827829, 47.56743082908194], [7.563653671158185, 47.56743852762156], [7.563662246962935, 47.56744617207039], [7.563670942221062, 47.56745375343476], [7.563679743664936, 47.567461280722576], [7.563688664562234, 47.56746874492589], [7.563697691603252, 47.567476137065185], [7.563706838118755, 47.56748347511359], [7.563716077510341, 47.56749075010589], [7.56372544964411, 47.567497961999344], [7.563734914632932, 47.567505101842954], [7.563744485786569, 47.5675121786161], [7.563754176393717, 47.56751919230462], [7.563763959855943, 47.56752613394317], [7.563773862750646, 47.5675330035033], [7.563783858521483, 47.567539810007155], [7.56379396045715, 47.56754655344046], [7.563804155226836, 47.56755321583003], [7.564695547356988, 47.568126728720486]], [[7.564695547356988, 47.568126728720486], [7.565221671686309, 47.56846523049912], [7.565531591840747, 47.568664607874986]]], ""type"": ""MultiLineString""}","47.56796150855353,7.564453258829155",,1968,BUN,Bungestr.
870,996,Paul Sacher-Anlage,"Paul Sacher (1906–1999), Basler Dirigent und Mäzen",,"{""coordinates"": [[7.611710246551477, 47.55945433675421], [7.612398139928668, 47.559539922078145], [7.612402871979622, 47.55954052659144], [7.612407643392841, 47.55954097815245], [7.612412440910885, 47.55954128577458], [7.61241723790177, 47.55954143151012], [7.612422060997401, 47.55954143330688], [7.612426870308393, 47.55954128223058], [7.612431665834717, 47.559540978281234], [7.612436434289637, 47.559540521478716], [7.612441162386427, 47.55953991184275], [7.612445850154344, 47.55953915836711], [7.612450470990697, 47.55953825209776], [7.61245503821142, 47.559537202008556], [7.61245951198573, 47.559536017152695], [7.612463905541693, 47.55953467952298], [7.612468205680479, 47.559533216120315], [7.612472399056784, 47.559531608977146], [7.612476472442514, 47.55952987610074], [7.612480425808346, 47.559528008497324], [7.612484245926188, 47.55952602417423], [7.61248793279602, 47.559523923131415], [7.612491459844487, 47.55952170540857], [7.612494827100876, 47.55951937999941], [7.612498034565194, 47.55951694690391], [7.612501069009377, 47.55951442412931], [7.612503930374817, 47.55951179368826], [7.612506605462773, 47.55950908258172], [7.612509094273251, 47.55950629080955], [7.612511383548903, 47.55950342738547], [7.612513473289758, 47.55950049230936], [7.612515350238461, 47.55949749459479], [7.612517027681724, 47.559494434221975], [7.612518492391514, 47.55949132919808], [7.612669595682715, 47.55917556743494], [7.61267288236732, 47.55916891615577], [7.612676368496602, 47.559162309547105], [7.612680040783909, 47.55915574762877], [7.61268389922918, 47.55914923040073], [7.612687957177618, 47.559142775830516], [7.612692187997321, 47.55913636597041], [7.612696605004159, 47.55913000979429], [7.612701208256747, 47.55912372528947], [7.612705984409789, 47.55911749448839], [7.612710946808494, 47.559111335358565], [7.612716082136902, 47.55910523892616], [7.612721390424306, 47.5590992141848], [7.612726871670676, 47.55909326113449], [7.612732512589397, 47.55908737979511], [7.612738339753585, 47.55908157012684], [7.612740260290527, 47.55907972354067], [7.612744326619412, 47.559075841163086], [7.612808013925273, 47.559016153464114], [7.612815828742433, 47.55900871295361], [7.612823497141139, 47.55900119171797], [7.612831005864227, 47.5589935987707], [7.61283835494111, 47.55898594310564], [7.612845544313099, 47.55897820673542], [7.612852574068318, 47.55897041664111], [7.612859444118726, 47.55896254584164], [7.612866141265924, 47.55895462133803], [7.612974387021971, 47.55882442795947], [7.612093365959575, 47.55865215546187], [7.61170993935129, 47.55857716955088], [7.611380888436153, 47.55850002417756], [7.611328435682654, 47.558586954448586], [7.611326099160007, 47.5585875425058], [7.611323816074123, 47.558588220421065], [7.611321599740555, 47.55858899716838], [7.611319463387531, 47.55858985474066], [7.611317393757693, 47.55859080215129], [7.611315417394827, 47.55859183036719], [7.611313534298937, 47.558592939388426], [7.611311757727359, 47.55859412020152], [7.611309413417926, 47.558596408085485], [7.61130717557448, 47.55859874977396], [7.611305017536838, 47.558601118325285], [7.611302965936096, 47.55860353168742], [7.611301007456722, 47.558605980886405], [7.611299142098726, 47.558608465922205], [7.611297383119463, 47.5586109777815], [7.611295717261594, 47.55861352547761], [7.611294157811588, 47.55861610899086], [7.611292704711249, 47.55861871033394], [7.611291344703245, 47.55862133852015], [7.611290104360499, 47.55862399351016], [7.611288957081006, 47.55862666634966], [7.611287929466806, 47.55862936599294], [7.611286994915886, 47.558632083485705], [7.611286179972087, 47.558634809794924], [7.611285580579473, 47.5586384531453], [7.611285100794005, 47.55864210531215], [7.611284740615709, 47.55864576629539], [7.611284500015515, 47.55864942710135], [7.611284379022547, 47.558653096723766], [7.611284377607729, 47.55865676616884], [7.611284495741985, 47.558660426443005], [7.611284733483545, 47.55866409553362], [7.61128509077423, 47.558667755453236], [7.61128556761407, 47.55867140620189], [7.61128616400308, 47.55867504777958], [7.611286879970397, 47.55867868918001], [7.61128771545784, 47.55868231241576], [7.611288670465433, 47.55868591748684], [7.611289731735829, 47.55868951340667], [7.611290925812894, 47.55869309114214], [7.611301786529387, 47.55873178406656], [7.611092057065193, 47.55896571600214], [7.611339185074094, 47.55907158376391], [7.611064651434488, 47.559361903457706], [7.611182564508594, 47.55938868303804], [7.611710246551477, 47.55945433675421]], ""type"": ""LineString""}","47.55903902382394,7.611925557572561",,1999,SAC,Paul Sacher-Anlage
871,467,Picassoplatz,"Pablo Picasso (1881–1973),","Maler, Zeichner, Bildhauer","{""coordinates"": [[[7.595083091940936, 47.55290544522536], [7.594955023845339, 47.5528963985175], [7.594954260869565, 47.552898980746654], [7.59495327194294, 47.552901527303916], [7.594952070324124, 47.55290402917778], [7.594950655986771, 47.55290647737451], [7.594949028930847, 47.552908871894076], [7.594947189103684, 47.55291119474911], [7.594945163048998, 47.55291343691018], [7.594942950766768, 47.5529155983773], [7.594940538945636, 47.55291767017458], [7.594937967414361, 47.55291964325483], [7.594935222861579, 47.552921508642136], [7.59493233183103, 47.55292325730715], [7.594929281064014, 47.55292489826134], [7.594926097051641, 47.552926404488005], [7.594922793131586, 47.552927793956705], [7.594919369224913, 47.55292903968626], [7.594915838642994, 47.55293015065258], [7.59491222795592, 47.55293112682004], [7.594908537111073, 47.552931950201184], [7.594904779419831, 47.55293262977188], [7.59490096814095, 47.5529331565206], [7.594897129844532, 47.55293353041173], [7.594893251271887, 47.55293376045682], [7.594889358940486, 47.55293382863273], [7.594885479446755, 47.552933743897626], [7.594881612790724, 47.55293350625146], [7.594877758972432, 47.552933115694245], [7.594873957847012, 47.55293257217248], [7.594870209440816, 47.552931884680035], [7.594866527012592, 47.552931044205245], [7.594862910588676, 47.552930059741904], [7.594859400024205, 47.552928931236565], [7.594791153918051, 47.55297415334139]], [[7.595311874870727, 47.55323164681237], [7.595304477039181, 47.55318704777619], [7.59530156776071, 47.55318710565042], [7.595298644880506, 47.55318705561786], [7.595295734968793, 47.553186897642874], [7.595292851310689, 47.55318663170753], [7.595289980621101, 47.553186257829736], [7.595287162781736, 47.55318578494956], [7.59528437116964, 47.5531851951154], [7.595281632434182, 47.553184515272626], [7.595278959807699, 47.553183727415906], [7.595276353316594, 47.553182840538994], [7.595273826272354, 47.55318186361778], [7.595271378648611, 47.553180787658555], [7.59526901049813, 47.55317963064869], [7.595266761649822, 47.553178383540946], [7.59526460555989, 47.55317705536475], [7.595262555513419, 47.55317564610224], [7.59515378387739, 47.553096503392055], [7.595152279315932, 47.55309536320721], [7.595150854333193, 47.55309417794672], [7.595149508955531, 47.55309295660435], [7.595148229897872, 47.55309169919783], [7.595147043730362, 47.55309040569155], [7.595145923882852, 47.553089076121196], [7.595144896951837, 47.5530877194448], [7.595143962937325, 47.553086335662336], [7.595143108554221, 47.55308492479164], [7.595142347087603, 47.55308348681492], [7.595141665278751, 47.5530820307437], [7.5951410896978, 47.553080556542305], [7.595140593774602, 47.553079064246376], [7.595140204105653, 47.55307756281401], [7.595139894120796, 47.55307605228091], [7.595139690390165, 47.55307453261132], [7.595139388524195, 47.55307125929282], [7.595139166368678, 47.55306798586726], [7.595139023923605, 47.553064712334674], [7.595138961188955, 47.553061438694996], [7.595138978138364, 47.55305815595454], [7.595139088109585, 47.553054882082876], [7.595139264506128, 47.55305160812201], [7.595139520613034, 47.55304833405406], [7.595139856456656, 47.55304506887277], [7.595140285295678, 47.553041803566536], [7.595140780559953, 47.55303853817107], [7.595141355587263, 47.553035290655984], [7.595142010324853, 47.55303204303385], [7.595142758084154, 47.55302880428049], [7.595143572295009, 47.55302557443162], [7.595145770155118, 47.55301849340038], [7.595148140799431, 47.553011439118194], [7.595150670942847, 47.553004411603], [7.595153360611654, 47.552997419848374], [7.595156209753084, 47.55299044586699], [7.595159231704836, 47.55298350762835], [7.595162399870407, 47.55297659617448], [7.595165740872549, 47.552969729456976], [7.59516924137343, 47.55296288950639], [7.595172888140698, 47.552956094327875], [7.595176694432965, 47.5529493349099], [7.59518066027655, 47.55294262024619], [7.595184785671398, 47.55293595033665], [7.595189057306066, 47.55292931620551], [7.595193488518264, 47.55292273582222], [7.595198065996554, 47.552916200210944], [7.595083091940936, 47.55290544522536]], [[7.594791153918051, 47.55297415334139], [7.594722894410538, 47.553019375423055], [7.594544054331346, 47.55325739152818], [7.594470690637216, 47.55322905144067], [7.594389963588839, 47.553327065296735], [7.594347534786444, 47.5533785842172], [7.594467877437601, 47.553416826633864], [7.594493106134458, 47.55338044017071], [7.594562984688229, 47.55340264217817], [7.594537742743555, 47.553439028674006], [7.594775409980786, 47.55351447375551], [7.594892851043274, 47.55351887615328], [7.594893555157952, 47.55351887520907]], [[7.594893555157952, 47.55351887520907], [7.595012777703762, 47.553519164954466], [7.59511091611279, 47.553437684775524], [7.595124222077077, 47.55342663157992], [7.595178082089499, 47.553381914277224], [7.595295423413753, 47.553284480211936], [7.595296550063552, 47.553283597310006], [7.595297729959352, 47.55328275031146], [7.595298989697773, 47.553281948174266], [7.595300302734968, 47.55328119992789], [7.595301669018162, 47.55328048758486], [7.595303088600127, 47.553279829132705], [7.595304548169351, 47.5532792155954], [7.595306061063741, 47.553278664942674], [7.595307627230519, 47.55327815918698], [7.595309206867102, 47.55327771636942], [7.595310839776085, 47.553277318448934], [7.59531248618126, 47.55327699246022], [7.595314159288606, 47.55327671140434], [7.595315845892158, 47.55327650228024], [7.595317559197887, 47.55327633808894], [7.595319272714709, 47.55327624584731], [7.595311874870727, 47.55323164681237]]], ""type"": ""MultiLineString""}","47.55323623532065,7.594858325628378",,1974,PIC,Picassoplatz
876,750,Amerbachstrasse,"Johann Amerbach (1443–1513), Buchdrucker und Verleger","Amerbachkabinett, Kernbestand der Basler Museen","{""coordinates"": [[[7.590345062592714, 47.569294823244974], [7.590494760507434, 47.56929783009273], [7.592180648243638, 47.5693007840857], [7.592281302508806, 47.5693014698861]], [[7.596277521687743, 47.56940092818597], [7.596428318140003, 47.569411192786085], [7.597413518516754, 47.56947969979827], [7.597608547752507, 47.56949189919264]], [[7.592281302508806, 47.5693014698861], [7.592379883593744, 47.56930213135237], [7.594864513792253, 47.56930810017237], [7.594966617422945, 47.56931359332341]], [[7.594966617422945, 47.56931359332341], [7.595105604366164, 47.56932106045755], [7.596277521687743, 47.56940092818597]]], ""type"": ""MultiLineString""}","47.5693388499856,7.5939787403431795",,1864,AME,Amerbachstr.
886,116,Cécile Ines Loos-Anlage,"Cécile Ines Loos (1883–1959),",Schweizer Schriftstellerin,"{""coordinates"": [[7.614003675257869, 47.555708782745064], [7.613767962430773, 47.55612686084142], [7.613535022869903, 47.55606667405682], [7.613198649438369, 47.55666323894471], [7.613763864672958, 47.556809285058314], [7.614100219361164, 47.556212709586426], [7.613941729991291, 47.55617175695335], [7.61417745493464, 47.55575367849006], [7.614003675257869, 47.555708782745064]], ""type"": ""LineString""}","47.5562799104063,7.613750266677639",,1990,LOO,Cécile Ines Loos-Anlage
919,1953,Kasernenhof,"Kaserne, erbaut 1860–1863, bis 1966 militärisch genutzt,","seit 1980 Kulturzentrum, 2018–2021 umgebaut","{""coordinates"": [[7.591657786163672, 47.56316664149058], [7.591623703042695, 47.563157260819445], [7.591609810840933, 47.56317814446845], [7.591435780939593, 47.5631265329739], [7.591424244522432, 47.563144148794464], [7.591409614866451, 47.56313951822049], [7.591396329106189, 47.56315875519948], [7.591333621093229, 47.56313890729729], [7.591345583668079, 47.56312161470108], [7.591330328917091, 47.56311677808064], [7.591335158928725, 47.563109792631316], [7.591024242731899, 47.563017078619175], [7.591048770340517, 47.56297937188151], [7.590617061803195, 47.56285063294471], [7.590699191746315, 47.562724460930596], [7.590597203003314, 47.56269402430094], [7.590573905901248, 47.562729957580856], [7.590514167765138, 47.56274490204441], [7.590055012909048, 47.56261234745481], [7.590042910802107, 47.56263208639217], [7.589639483291496, 47.56251274147178], [7.589281760126923, 47.56300821836963], [7.59131891515304, 47.56368848738139], [7.591657786163672, 47.56316664149058]], ""type"": ""LineString""}","47.56308103570039,7.590500813057579",,2021,KAS,Kasernenhof
924,191,Fechterweglein,"Daniel Albert Fechter (1805–1876),","Lokalhistoriker, erster Basler Strassennamenforscher","{""coordinates"": [[7.594202091529768, 47.531534728694446], [7.594272282782611, 47.53151919254332], [7.594323204251642, 47.531507918195445], [7.595140957473088, 47.53132690095601], [7.595209170803788, 47.531311807589766]], ""type"": ""LineString""}","47.531423265009295,7.594705630473402",,1970,FEC,Fechterweglein
932,684,Schäublinweglein,"Johann Jakob Schäublin (1822–1901),",Waisenhausvater und Gesangspädagoge,"{""coordinates"": [[7.583390727846482, 47.53327970233667], [7.583459455226644, 47.533261026744135], [7.583502172600244, 47.53324941660528], [7.583968678501351, 47.533122607636095], [7.584459625724285, 47.53301339405991], [7.58449609729889, 47.53300528096652], [7.584552729080807, 47.532992681689116]], ""type"": ""LineString""}","47.533129437164874,7.583970060094744",,1970,SCH,Schäublinweglein
955,456,Pfeffelstrasse,"Gottlieb Konrad Pfeffel (1736–1809),",Elsässer Pädagoge und Schriftsteller,"{""coordinates"": [[7.572353693087281, 47.56000656510967], [7.572267129488581, 47.559932259255426], [7.57086136024986, 47.558725428605236], [7.5707539365564, 47.55863319375833]], ""type"": ""LineString""}","47.55931988508312,7.571553809972031",,1892,PFE,Pfeffelstr.
963,266,Holbeinplatz,"Hans Holbein d. J. (1497–1543),","Maler und Zeichner, 1520 eingebürgert","{""coordinates"": [[[7.583837017441051, 47.55539758582062], [7.584244284141436, 47.55540983097014]], [[7.584244284141436, 47.55540983097014], [7.584625151140425, 47.55542164007694]], [[7.583670464920488, 47.55576353243054], [7.583559576211059, 47.55559499280864], [7.583689109375515, 47.55539330005946], [7.583837017441051, 47.55539758582062]], [[7.584625151140425, 47.55542164007694], [7.584404272077822, 47.55597518414836], [7.584065409638973, 47.55592871402723], [7.583670464920488, 47.55576353243054]]], ""type"": ""MultiLineString""}","47.555634456849305,7.584112966963168",1859,1861,HOL,Holbeinplatz
970,744,Wettsteinbrücke,"Johann Rudolf Wettstein (1594–1666),",Bürgermeister und Diplomat (Westfälischer Frieden),"{""coordinates"": [[7.595374568832602, 47.55558116880951], [7.596712408290037, 47.557207092957995], [7.59676724939093, 47.55727297859067]], ""type"": ""LineString""}","47.556427222533756,7.596070729270125",,1878,WET,Wettsteinbrücke
