;name;name:etymology:wikidata;Unnamed: 0;STR_ESID;STN_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;STR_OFFICIAL;STR_EASTING;STR_NORTHING;STN_LABEL_NO_BI;STN_LABEL_NO_TERMS;STR_TERMS;STR_PREPS;STN_LABEL_FINAL
37;Gutenbergstrasse;Q8958;130326;10081227;Gutenbergstrasse;1301;Einsiedeln;SZ;True;2699423.0;1220705.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
38;Gutenbergstrasse;Q8958;132230;10092934;Gutenbergstrasse;3340;Rapperswil-Jona;SG;True;2705348.0;1232156.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
39;Gutenbergstrasse;Q8958;133609;10030305;Gutenbergstrasse;3298;Walenstadt;SG;True;2742272.0;1220761.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
40;Gutenbergstrasse;Q8958;134000;10046713;Gutenbergstrasse;3231;Au (SG);SG;True;2765309.0;1253738.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
41;Gutenbergstrasse;Q8958;141891;10134109;Gutenbergstrasse;3203;St. Gallen;SG;True;2745801.0;1254161.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
42;Gutenbergstrasse;Q8958;149044;10030599;Gutenbergstrasse;3443;Gossau (SG);SG;True;2736712.0;1253054.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
43;Gutenbergstrasse;Q8958;174382;10073486;Gutenbergstrasse;4561;Felben-Wellhausen;TG;True;2713808.0;1270010.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
44;Gutenbergstrasse;Q8958;174816;10042395;Gutenbergstrasse;4671;Kreuzlingen;TG;True;2730204.0;1279158.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
45;Gutenbergstrasse;Q8958;185627;10091135;Gutenbergstrasse;2517;Derendingen;SO;True;2612212.0;1227393.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
46;Gutenbergstrasse;Q8958;187102;10109909;Gutenbergstrasse;2513;Biberist;SO;True;2609352.0;1225678.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
47;Gutenbergstrasse;Q8958;193370;10108457;Gutenbergstrasse;141;Thalwil;ZH;True;2685413.0;1238802.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
48;Gutenbergstrasse;Q8958;196839;10059095;Gutenbergstrasse;261;Zürich;ZH;True;2682483.0;1246622.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
49;Gutenbergstrasse;Q8958;197232;10008073;Gutenbergstrasse;230;Winterthur;ZH;True;2695713.0;1260828.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
50;Gutenbergstrasse;Q8958;208345;10073129;Gutenbergstrasse;3001;Herisau;AR;True;2739158.0;1249946.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
51;Kugelgasse;Q12134;153200;10022222;Kugelgasse;3203;St. Gallen;SG;True;2746276.0;1254538.0;Kugelgasse;Kugel;gasse;;Kugel
52;Kugelgasse;Q12134;159710;10033525;Kugelgasse;3251;Altstätten;SG;True;2758726.0;1249385.0;Kugelgasse;Kugel;gasse;;Kugel
53;Kugelgasse;Q12134;160046;10070926;Kugelgasse;3234;Diepoldsau;SG;True;2767808.0;1251253.0;Kugelgasse;Kugel;gasse;;Kugel
54;Kugelgasse;Q12134;181215;10182005;Kugelgasse;4536;Basadingen-Schlattingen;TG;True;2699697.0;1280160.0;Kugelgasse;Kugel;gasse;;Kugel
55;Kugelgasse;Q12134;200004;10076352;Kugelgasse;155;Männedorf;ZH;True;2694772.0;1234432.0;Kugelgasse;Kugel;gasse;;Kugel
