DIC_UID;DIC_Berufe;DIC_Lebewesen;DIC_Ortschaft;DIC_Gewässer;DIC_Berge
879;Seifensieder, Seifensiederin;ortie;Rengg;;
880;Sekretär, Sekretärin;Ronce;Finsterwald b. Entlebuch;;
881;Setzer, Setzerin;Bruyère;Ebnet;;
882;Sklave, Sklavin;Cresson de fontaine;Flühli LU;;
883;Soldat, Soldatin;Bubenstrauch;Sörenberg;;
884;Sommelier;Hêtre;Hasle LU;;
885;Souffleur, Souffleuse;Buis;Fontannen b. Wolhusen;;
886;Sozialarbeiter, Sozialarbeiterin;Sarrasin;Romoos;;
887;Spengler, Spenglerin;Arbuste de cajeput;Bramboden;;
888;Spinner, Spinnerin;Arbuste calabar;Schüpfheim;;
889;Spion, Spionin;Calla;Schachen LU;;
890;Spitzenklöpplerin;Bois de camphrier;Werthenstein;;
891;Sportler, Sportlerin;Chicorée;Escholzmatt;;
892;Staatsanwalt, Staatsanwältin;Arbre de Chine;Wiggen;;
893;Stallknecht;Tilleul de Chine;Marbach LU;;
894;Standortleiter;Rose de Noël;Aesch LU;;
895;Starkstromelektriker, Starkstromelektrikerin;Epine du Christ;Ballwil;;
896;Steinmetz;Chrysanthème;Emmenbrücke;;
897;Stellmacher, Stellmacherin;Chrysarobine;Emmen;;
898;Steuerberater, Steuerberaterin;Cimicifuga;Ermensee;;
899;Steuermann;Herbe à citronnelle;Eschenbach LU;;
900;Steward, Stewardess;Clématite;Gelfingen;;
901;Stickerin;Comfrey;Sulz LU;;
902;Straßenerhaltungsfachmann;Cormobionta;Hitzkirch;;
903;Straßenbahnfahrer, Straßenbahnfahrerin;Dahlia;Retschwil;;
904;Straßenfeger, Straßenfegerin;Feuille épaisse;Altwis;;
905;Straßenkehrer, Straßenkehrerin;Aneth;Müswangen;;
906;Straßenmädchen;Dingel;Hämikon;;
907;Stricher;Épeautre;Hämikon;;
908;Stuckateur, Stuckateurin;Diptam;Mosen;;
909;Stuhlbauer, Stuhlbauerin;Chardon;Hochdorf;;
910;Stuntman, Stuntwomen;Djamba;Urswil;;
911;Supervisor, Supervisorin;Barbarie;Baldegg;;
912;System- und Anwendungsadministrator, System- und Anwendungsadministratorin;Baie double;Hohenrain;;
913;System- und Anwendungsmanager, System- und Anwendungsmanagerin;Double graine;Kleinwangen;;
914;Systemanalytiker, Systemanalytikerin;Dost;Lieli LU;;
915;Tankwart, Tankwartin;Douglas;Inwil;;
916;Tapezierer, Tapeziererin;Fleur de trèfle;Rain;;
917;Taschendieb, Taschendiebin;Dragonnier;Römerswil LU;;
918;Taucher, Taucherin;Sanglier du dragon;Herlisberg;;
919;Taxidermist, Taxidermistin;Tête de dragon;Rothenburg;;
920;Taxifahrer, Taxifahrerin;Gueule de dragon;Schongau;;
921;Techniker, Technikerin;Trident;Adligenswil;;
922;Teigbereiter, Teigbereiterin;Trident;Buchrain;;
923;Telefonist, Telefonistin;Trident;Perlen;;
924;Tellerwäscher, Tellerwäscherin;Dumpalme;Dierikon;;
925;Teppichknüpfer, Teppichknüpferin;Duwock;Ebikon;;
926;Tierarzt, Tierärztin;Sorbier;Gisikon;;
927;Tierpfleger, Tierpflegerin;Racine de sorbier;Greppen;;
928;Tierpräparator, Tierpräparatorin;Edelweiss;Honau;;
929;Tischler, Tischlerin;Lierre;St. Niklausen LU;;
930;Toningenieur, Toningenieurin;Vigne d'honneur;Kastanienbaum;;
931;Tonmeister, Tonmeisterin;Guimauve;Horw;;
932;Touristiker, Touristikerin;Chêne;Kriens;;
933;Töpfer, Töpferin;Einbeere;Obernau;;
934;Topograf, Topografin;engrain;Luzern;;
935;Topograph, Topographin;Fleur de glace;Luzern;;
936;Totengräber, Totengräberin;Aconit;Luzern;;
937;Trainer, Trainerin;Verveine;Luzern;;
938;Traktorist, Traktoristin;Éleuthérocoque;Luzern;;
939;Trompeter, Trompeterin;Amidonnier;Luzern;;
940;Typograf, Typografin;Angélique;Malters;;
941;Typograph, Typographin;Angélique;Meggen;;
942;Übersetzer, Übersetzerin;Gentiane;Meierskappel;;
943;Uhrmacher, Uhrmacherin;Éphédra;Root;;
944;Unterhaltungskünstler, Unterhaltungskünstlerin;Arbousier;Root D4;;
945;Unternehmensberater, Unternehmensberaterin;Fraise;Eigenthal;;
946;Unternehmer, Unternehmerin;Arachide;Schwarzenberg LU;;
947;Bestattungsunternehmer, Bestattungsunternehmerin;Fumier de terre;Udligenswil;;
948;Urologe, Urologin;Angélique des bois;Vitznau;;
949;Verantwortliche, Verantwortlicher;Frêne;Weggis;;
950;Verbrecher, Verbrecherin,;Chardon aux ânes;Rigi Kaltbad;;
951;Verkäufer, Verkäuferin;Sainfoin;Neudorf;;
952;Vermesser, Vermesserin;Estragon;Beromünster;;
953;Vermögensverwalter, Vermögensverwalterin;Eucalyptus;Schwarzenbach LU;;
954;Vertreter, Vertreterin;Euphorbium;Gunzwil;;
955;Vertriebsbeauftragter, Vertriebsbeauftragte;Fabianacée;Büron;;
956;Verwalter, Verwalterin;Millet filiforme;Buttisholz;;
957;Veterinär, Veterinärin;Carthame des teinturiers;Eich;;
958;Viehdieb, Viehdiebin;Genêt des teinturiers;Geuensee;;
959;Viehhüter;Fougère;Grosswangen;;
960;Viehzüchter, Viehzüchterin;Arbre à pourrir;Hildisrieden;;
961;Visagist, Visagistin;Figuier;St. Erhard;;
962;Vokalist, Vokalistin;Fétuque;Knutwil;;
963;Volontär, Volontärin;Mâche;Kaltbach;;
964;Vorarbeiter, Vorarbeiterin;Feldthym;Mauensee;;
965;Vorstand;Poirier des rochers;Hellbühl;;
966;Vorstandsmitglied;Fenouil;Sempach Station;;
967;Vorstandsvorsitzender;Bois de fenouil;Neuenkirch;;
968;Wachmann;Fenouil;Nottwil;;
969;Wärter, Wärterin;Herbe à porcelets;Oberkirch LU;;
970;Wäscherin;Fétuque grasse;Pfeffikon LU;;
971;Weber, Weberin;Herbe grasse;Rickenbach LU;;
972;Wegelagerer;Epicéa;Ruswil;;
973;Werkzeugmacher, Werkzeugmacherin;Asperge d'épicéa;Sigigen;;
974;Wertpapierhändler, Wertpapierhändlerin;Trèfle à quatre feuilles;Schenkon;;
975;Wesir;Digitale;Schlierbach;;
976;Winzer, Winzerin;Herbe à fioritures;Sempach;;
977;Wirt, Wirtin;Herbe de poisson;Sursee;;
978;Wissenschaftler, Wissenschaftlerin;Jonc flottant;Triengen;;
979;Xylophonist;Lilas;Kulmerau;;
980;Yogalehrer, Yogalehrerin;Herbe de psyllium;Winikon;;
981;Zahlmeister;Pin sylvestre;Wilihof;;
982;Zahnarzt, Zahnärztin;Forsythia;Wolhusen;;
983;Zauberer, Zaubererin;Bois de France;Steinhuserberg;;
984;Zeichner, Zeichnerin;Alchémille;Alberswil;;
985;Zeidler, Zeidlerin;Sabot de femme;Altbüron;;
986;Zeitungsausträger, Zeitungsausträgerin;Miroir de femme;Ebersecken;;
987;Zeitungsbote, Zeitungsbotin;Racine de femme;Altishofen;;
988;Zeugwart;Bouton de grenouille;Buchs LU;;
989;Ziffernblattmaler, Ziffernblattmalerin;Séneçon du renard;Dagmersellen;;
990;Zimmerer, Zimmerin;Queue de renard;Uffikon;;
991;Zimmermädchen;Galbanum;Egolzwil;;
992;Zimmermann;Galanga;Kottwil;;
993;Zirkusdirektor, Zirkusdirektorin;Gamandre;Ettiswil;;
994;Zitherspieler, Zitherspielerin;Pâquerette;Fischbach LU;;
995;Zofe;Patte d'oie;Grossdietwil;;
996;Zoologe, Zoologin;Patte d'oie;Hergiswil b. Willisau;;
997;Zugbegleiter, Zugbegleiterin;Garaus;Hofstatt;;
998;Zugeherin;Rose de jardin;Luthern;;
999;Zugehfrau;Plante de jardin;Luthern Bad;;
1000;Zugehhilfe;Fléole des prés;Menznau;;
1001;Zwangsverwalter, Zwangsverwalterin;Gemekemein;Geiss;;
1002;Abate;Chèvrefeuille;Menzberg;;
1003;Abatteur de bétail;Chèvrefeuille;Nebikon;;
1004;Abbé;Chèvrefeuille;St. Urban;;
1005;Abbrucharbeiter;Racine jaune;Pfaffnau;;
1006;Abdichter (Gebäudehülle);Georgine;Reiden;;
1007;Abdichter (Kunststoffindustrie);Géranium;Reidermoos;;
1008;Abdichtungsfachmann;Orge;Mehlsecken;;
1009;Abdichtungspraktiker (Gebäudehülle);Sumac des épices;Langnau b. Reiden;;
1010;Abdichtungstechniker;Baies vénéneuses;Richenthal;;
1011;Abfallaufbereiter;Sumac vénéneux;Roggliswil;;
1012;Abfallberater;Plante vénéneuse;Ohmstal;;
1013;Abfallbewirtschafter;Ginkgo;Schötz;;
1014;Abfallentsorger;Ginseng;Ufhusen;;
1015;Abfallsortierer;Genêt;Wauwil;;
1016;Abfallverbrennungsarbeiter;Herbe de la grâce;Wikon;;
1017;Abfallverwertungsmeister;Verge d'or;Hintermoos;;
1018;Abfüller;Mélisse d'or;Zell LU;;
1019;Abfüller von Daunen;Plume d'or;Hüswil;;
1020;Abkanter;Verge d'or;Daiwil;;
1021;Abkantspezialist;Orme d'or;Willisau;;
1022;Ableger;Grâces de Dieu;Rohrmatt;;
1023;Abnahmebeamter;Grenadier;Gettnau;;
1024;Abordeur;Herbe;Altdorf UR;;
1025;Abpacker;Goyave;Andermatt;;
1026;Abputzer (in Schuhindustrie);Guarana;Attinghausen;;
1027;Abschleifer (Steinbearbeitung);Goyave;Bürglen UR;;
1028;Abschlepper;Gundelbebe;Erstfeld;;
1029;Abstecker, Konfektion;Sureau;Flüelen;;
1030;Abt;Épervière;Göschenen;;
1031;Abteilungschef (öffentlicher Dienst, Direktionsmitglied);Avoine;Intschi;;
1032;Abteilungsleiter;Églantier;Gurtnellen;;
1033;Abteilungsleiter Einkauf;Renoncule;Hospental;;
1034;Abteilungsleiter Finanzen;Crête de coq;Isenthal;;
1035;Abteilungsleiter Forschung und Entwicklung;Charme;Realp;;
1036;Abteilungsleiter Gesundheit;Hamamélis;Schattdorf;;
1037;Abteilungsleiter Kaufhaus;Chanvre;Haldi b. Schattdorf;;
1038;Abteilungsleiter Personal;Haronga;Seedorf UR;;
1039;Abteilungsleiter Produktion;Noisetier;Bauen;;
1040;Abteilungsleiter, Marketing;Oreille de lièvre;Seelisberg;;
1041;Abteilungsleiter, Öffentlichkeitsarbeit;Bourdaine;Rütli;;
1042;Abteilungsleiter, Verkauf;Racine de maison;Silenen;;
1043;Abteilungsleiter, Werbung;Herbe à brochet;Amsteg;;
1044;Abteilungssekretär;Églantier;Bristen;;
1045;Abteilungsvorsteher (öffentlicher Dienst, Direktionsmitglied);Hederich;Sisikon;;
1046;Abwart;Bruyère;Spiringen;;
1047;Abwartgehilfe;Myrtille;Urnerboden;;
1048;Abwascher;Plante médicinale;Unterschächen;;
1049;Abwaschküchenleiter;Gentiane médicinale;Wassen UR;;
1050;Abwasseranlagenwärter;Colchique d'automne;Meien;;
1051;Abwassertechniker;Feuille de cœur;Bennau;;
1052;Accessoiriste;Pied de biche;Einsiedeln;;
1053;Accompagnant socio-éducatif;Herbe des sorcières;Trachslau;;
1054;Accompagnant socioprofessionnel;Hibiscus;Gross;;
1055;Accompagnateur (à la guérison) de personnes atteintes de maladie mentale;Framboise;Euthal;;
1056;Accompagnateur de personnes âgées;Racine de cerf;Willerzell;;
1057;Accompagnateur de personnes en fin de vie;Millet;Egg SZ;;
1058;Accompagnateur de randonnée;Bourse à pasteur;Rigi Scheidegg;;
1059;Accompagnateur de train;Camomille creuse;Gersau;;
1060;Accompagnateur de vol;Dent creuse;Schindellegi;;
1061;Accompagnateur en montagne;Langue creuse;Feusisberg;;
1062;Accompagnateur social;Sureau;Hurden;;
1063;Accompagnateur touristique;Houblon;Bäch SZ;;
1064;Accompagnatore;Houblon;Freienbach;;
1065;Accompagnatore (alla guarigione) di persone colpite di malattia mentale;Pavot cornu;Pfäffikon SZ;;
1066;Accompagnatore di escursionismo;Bourdaine;Wollerau;;
1067;Accompagnatore di malati nella fase terminale;Langue de chien;Wilen b. Wollerau;;
1068;Accompagnatore di persone anziane;Hérisson;Wollerau;;
1069;Accompagnatore di treni;Graine de hérisson;Merlischachen;;
1070;Accompagnatore in montagna;Tube de hérisson;Küssnacht am Rigi;;
1071;Accompagnatore sociale;Feuille d'immortelle;Immensee;;
1072;Accompagnatore socioprofessionale;Pervenche;Altendorf;;
1073;Accompagnatore turistico;Immortelle;Galgenen;;
1074;Accoppiatore;Gingembre;Innerthal;;
1075;Accordatore musicale;Fleur d'insecte;Lachen SZ;;
1076;Accordeur d'instruments de musique;Iris;Reichenburg;;
1077;Account Engineer;Ive;Siebnen;;
1078;Account Engineer;Arbuste de jaborandi;Schübelbach;;
1079;Account Engineer;Fleur de Saint-Jacques;Buttikon SZ;;
1080;Account Manager;Racine de Saint-Jacques;Tuggen;;
1081;Account Manager;Séneçon jacobéen;Vorderthal;;
1082;Account Manager;Séneçon jacobée;Wangen SZ;;
1083;Account manager ICT;Jasione;Alpthal;;
1084;Account manager ICT;Jalae;Goldau;;
1085;Account manager ICT;Jaléa;Rigi Klösterli;;
1086;Account Underwriter;Groseille à maquereau;Rigi Staffel;;
1087;Account Underwriter;Caroube;Rigi Kulm;;
1088;Account Underwriter;Millepertuis;Oberarth;;
1089;Accountant;Arbre de Judée;Arth;;
1090;Accountant;Pigeon de Judée;Illgau;;
1091;Accountant;Argent de Judée;Brunnen;;
1092;Accueillant en milieu familial;Cerisier de Judée;Lauerz;;
1093;Acheteur;Demoiselle en herbe;Stoos SZ;;
1094;Acheteur stratégique;Vigne vierge;Morschach;;
1095;Acheteur technique;Caféier;Muotathal;;
1096;Acheveur;Cacaoyer;Bisisthal;;
1097;Acheveur;Cactus;Ried (Muotathal);;
1098;Acheveur (horlogerie);Goutte de veau;Oberiberg;;
1099;Ackerbauingenieur;Kalisaya;Riemenstalden;;
1100;Acousticien;Kalmus;Rothenthurm;;
1101;Acousticien en systèmes auditifs;Kamala;Sattel;;
1102;Acquirente strategico;Camomille;Seewen SZ;;
1103;Acquisiteur d'assurances;Camphre;Schwyz;;
1104;Acquisiteur en publicité;Capucine;Rickenbach b. Schwyz;;
1105;Acquisitore;Cardamome;Ibach;;
1106;Acquisitore d'assicurazioni;Cardobenediktenkraut;Steinen;;
1107;Acquisitore d'inserzioni pubblicitarie;Pomme de terre;Steinerberg;;
1108;Acquisitore tecnico;Peuplier à fromage;Unteriberg;;
1109;Acrobata;Châtaigne;Studen SZ;;
1110;Acrobate;Katechu;Pilatus Kulm;;
1111;Acteur;Patte de chat;Alpnachstad;;
1112;Acteur de cinéma;Kava-Kava;Alpnach Dorf;;
1113;Acteur de théâtre;Cerfeuil;Grafenort;;
1114;Actuaire;Lycopode en massue;Engelberg;;
1115;Actuaire (mathématicien d'assurances);Khella;Giswil;;
1116;Actuaire (mathématicien en économie);Laurier-cerise;Kerns;;
1117;Actuaire-conseil;Racine de crotale;St. Niklausen OW;;
1118;Acupresseur;Serpentaire à sonnettes;Melchtal;;
1119;Acupuncteur;Coquelicot à fleurs;Melchsee-Frutt;;
1120;Acupuntore;Trèfle à quatre feuilles;Lungern;;
1121;Addestratore;Fougère de trèfle;Bürglen OW;;
1122;Addestratore di cani;Bardane;Sachseln;;
1123;Addetto agli incassi;Oeillet de cloître;Flüeli-Ranft;;
1124;Addetto agli scavi archeologici;Ortie brûlante;Kägiswil;;
1125;Addetto agricolo (attività miste);Ail;Sarnen;;
1126;Addetto ai bagni chimici;Renouée du Japon;Ramersberg;;
1127;Addetto ai bollitori (industria chimica);Chardon vert;Wilen (Sarnen);;
1128;Addetto ai forni (in fabbrica di vetro);Chou-fleur;Stalden (Sarnen);;
1129;Addetto ai forni d'incenerimento;Arbuste de coca;Beckenried;;
1130;Addetto ai metodi operativi;Noix de cola;Buochs;;
1131;Addetto ai microfilm;Millepertuis;Dallenwil;;
1132;Addetto ai rivestimenti di soffitti;Condurango;Wiesenberg;;
1133;Addetto ai telai automatici;Copaïba;Wirzweli;;
1134;Addetto ai traslochi;Coriandre;Emmetten;;
1135;Addetto al bestiame;Bleuet;Bürgenstock;;
1136;Addetto al controllo della produzione;Cornouiller;Ennetbürgen;;
1137;Addetto al controllo delle caldaie;Arbre de Koso;Ennetmoos;;
1138;Addetto al controllo delle uova;Cotonnier;Hergiswil NW;;
1139;Addetto al controllo di propulsori;Cresson;Oberdorf NW;;
1140;Addetto al controllo entrata merci;Épine-vinette;Büren NW;;
1141;Addetto al distributore di benzina;Crotonier;Niederrickenbach;;
1142;Addetto al montaggio di avvolgibili;Épinard cubique;Stans;;
1143;Addetto al prefilatoio;Cubèbe;Stansstad;;
1144;Addetto al reclutamento;Pied-de-biche;Obbürgen;;
1145;Addetto al riempimento di piumini;Pain de coucou;Fürigen;;
1146;Addetto al servizio autoveicoli;Coqueret;Kehrsiten;;
1147;Addetto al servizio di soccorso stradale;Cumin;Wolfenschiessen;;
1148;Addetto al teletypsetter;Curare;Oberrickenbach;;
1149;Addetto al trasporto di prigionieri;Courge;Näfels;;
1150;Addetto al trasporto di valori;Curcuma;Mollis;;
1151;Addetto al trattamento di bevande;Gaillet gratteron;Filzbach;;
1152;Addetto al trattamento superficiale;Chénopode;Obstalden;;
1153;Addetto alimentarista;Laminaria;Bilten;;
1154;Addetto alla comunicazione;Mélèze;Niederurnen;;
1155;Addetto alla conciatura delle pelli;Herbe à laser;Oberurnen;;
1156;Addetto alla confezionatura;Pin de montagne;Mühlehorn;;
1157;Addetto alla conta del denaro;Poireau;Mitlödi;;
1158;Addetto alla copertura di tetti;Herbe à poux;Schwanden GL;;
1159;Addetto alla costruzione di binari;Lavande;Schwändi b. Schwanden;;
1160;Addetto alla costruzione di facciate;Arbre de vie;Sool;;
1161;Addetto alla costruzione di facciate (involucro edilizio);Anémone hépatique;Engi;;
1162;Addetto alla costruzione di ponteggi;Cameline;Matt;;
1163;Addetto alla costruzione di sottofondi e pavimenti industriali;Linaire;Elm;;
1164;Addetto alla costruzione stradale;Levkoja;Nidfurn;;
1165;Addetto alla cucitura;Pied d'alouette;Haslen GL;;
1166;Addetto alla cura dei tessili;Liane;Leuggelbach;;
1167;Addetto alla cura di cani;Oeillet d'Inde;Luchsingen;;
1168;Addetto alla difesa;Livèche;Hätzingen;;
1169;Addetto alla fabbricazione di cavi;Lys;Diesbach GL;;
1170;Addetto alla fabbricazione di detersivi;Troène;Betschwanden;;
1171;Addetto alla fabbricazione di filo;Lys;Rüti GL;;
1172;Addetto alla fabbricazione di materie sintetiche;Tilleul;Linthal;;
1173;Addetto alla fabbricazione di piastrelle;Lentille;Braunwald;;
1174;Addetto alla fabbricazione di pneumatici per automobili;Litchi;Glarus;;
1175;Addetto alla fabbricazione di resine sintetiche;Lobelia;Riedern;;
1176;Addetto alla fabbricazione di sagome;lobélie;Klöntal;;
1177;Addetto alla fecondazione artificiale;Herbe de la cuillère;Netstal;;
1178;Addetto alla fresa scanalatrice (lavorazione dei metalli);Lolch;Ennenda;;
1179;Addetto alla lavorazione del acciaio;Laurier;Allenwinden;;
1180;Addetto alla lavorazione del ferro;Laurier-cerise;Baar;;
1181;Addetto alla lavorazione del legno;Laurier rose;Cham;;
1182;Addetto alla lavorazione della carta;Racine de lotus;Hagendorn;;
1183;Addetto alla lavorazione di cellulosa;Loup;Hünenberg;;
1184;Addetto alla lavorazione di materie sintetiche;Gueule-de-loup;Hünenberg See;;
1185;Addetto alla lavorazione di metalli preziosi;Pissenlit;Menzingen;;
1186;Addetto alla lavorazione di terracotta;Pulmonaire;Menzingen;;
1187;Addetto alla lavorazione di vetro;Lupin;Edlibach;;
1188;Addetto alla lucidatura (legno);Luzerne;Finstersee;;
1189;Addetto alla manutenzione di macchine edili;Reine des prés;Sihlbrugg;;
1190;Addetto alla manutenzione di veicoli e autocarri;Mahonia;Neuheim;;
1191;Addetto alla manutenzione di veicoli, macchine agricole;Ma-Huang;Oberägeri;;
1192;Addetto alla piallatrice circolare;Muguet de mai;Alosen;;
1193;Addetto alla preparazione delle palette;Maïs;Morgarten;;
1194;Addetto alla preparazione di automobili;Marjolaine à coquilles;Rotkreuz;;
1195;Addetto alla preservazione del legno;Épinards de Malabar;Buonas;;
1196;Addetto alla produzione di celluloide;Mauve;Risch;;
1197;Addetto alla produzione di fermagli (gioielleria);Séquoia;Holzhäusern ZG;;
1198;Addetto alla produzione di imballaggi;Mandarinier;Steinhausen;;
1199;Addetto alla produzione di vernici;Manna;Unterägeri;;
1200;Addetto alla sbadacchiatura;Treille d'homme;Neuägeri;;
1201;Addetto alla segnaletica stradale;Bouclier d'homme;Walchwil;;
1202;Addetto alla sistemazione delle merci;Litière d'homme;Zug;;
1203;Addetto alla sorveglianza;Maranta;Zugerberg;;
1204;Addetto alla spedizione di bagagli;Marguerite;Oberwil b. Zug;;
1205;Addetto alla tecnica della costruzione;Chardon-Marie;Châtillon FR;;
1206;Addetto alla tecnica della costruzione, impianti sanitari;Herbe de Marie;Cugy FR;;
1207;Addetto alla tecnica della costruzione, lattoneria;Marille;Vesin;;
1208;Addetto alla tecnica della costruzione, riscaldamenti;Marronnier;Fétigny;;
1209;Addetto alla tecnica della costruzione, ventilazione;Messicole;Gletterens;;
1210;Addetto alla trafilatrice per fili metallici;Amour de la mesure;Lully FR;;
1211;Addetto alla trafilatura delle spirali (industria orologiera);Herbe à mât;Seiry;;
1212;Addetto alla trasformazione lattiero-casearia;Matico;Bollion;;
1213;Addetto all'accoglienza e alla sorveglianza;Poivre des murailles;Ménières;;
1214;Addetto alle attività agricole;Mûrier;Cousset;;
1215;Addetto alle attività agricole, agricoltura;Trèfle à quatre feuilles;Cousset;;
1216;Addetto alle attività agricole, colture speciali;Raifort;Montagny-les-Monts;;
1217;Addetto alle attività agricole, vinificazione;Oignon de mer;Mannens;;
1218;Addetto alle caldaie (riscaldamento di edifici);Meier;Grandsivaz;;
1219;Addetto alle cure sociosanitarie;Racine de maître;Montagny-la-Ville;;
1220;Addetto alle impermeabilizzazioni;Annonce;Nuvilly;;
1221;Addetto alle impermeabilizzazioni (involucro edilizio);Mélisse;Prévondavaux;;
1222;Addetto alle linee, Telecom;Melon;St-Aubin FR;;
1223;Addetto alle luci;Arbre à melon;Les Friques;;
1224;Addetto alle macchine CNC;Merk;Sévaz;;
1225;Addetto alle macchine di legatoria;Étoile de lait;Villeneuve FR;;
1226;Addetto alle macchine per la lavorazione del legno;Nèfle;Surpierre;;
1227;Addetto alle macchine per la produzione di gommapiuma;Fleur de midi;Praratoud;;
1228;Addetto alle macchine tessili;Coquelicot;Cheiry;;
1229;Addetto alle operazioni di volo;Carotte;Chapelle (Broye);;
1230;Addetto alle policostruzioni;Molène;Vallon;;
1231;Addetto alle policostruzioni, copertura di tetti;Monarde;Montet (Broye);;
1232;Addetto alle policostruzioni, costruzione di facciate;Violette de lune;Frasses;;
1233;Addetto alle policostruzioni, costruzione di ponteggi;Abondance de tourbe;Aumont;;
1234;Addetto alle policostruzioni, impermeabilizzazione;Roi des tourbières;Granges-de-Vesin;;
1235;Addetto alle policostruzioni, sistemi di protezione solare;Mousse;Delley;;
1236;Addetto alle reti;Airelle des marais;Portalban;;
1237;Addetto all'eliminazione dei rifiuti;Muscari;Dompierre FR;;
1238;Addetto all'eliminazione di carcasse di animali;Muflier musqué;Domdidier;;
1239;Addetto all'impianto di depurazione;Muira-puama;Léchelles;;
1240;Addetto all'informatica;Moumoute;Chandon;;
1241;Addetto allo smaltimento delle acque;Noix de muscade;Russy;;
1242;Addetto allo smantellamento;Ergot de seigle;Estavayer-le-Lac;;
1243;Addetto allo smistamento;Cumin mère;Font;;
1244;Addetto amministrativo;Myrrhe;Font;;
1245;Addetto commerciale;Myrte;Autavaux;;
1246;Addetto commercio estero;Onagre;Forel FR;;
1247;Addetto consolare;Nocturne;Montbrelloz;;
1248;Addetto culturale;Violette de nuit;Vuissens;;
1249;Addetto d'albergo;Herbe à ongles;Murist;;
1250;Addetto d'ambasciata;Narcisse;Bussy FR;;
1251;Addetto d'economia domestica;Langue de vipère;Morens FR;;
1252;Addetto degli impianti di trasporto a fune;Graine de nègre;Rueyres-les-Prés;;
1253;Addetto del pneumatico;Œillet;Cheyres;;
1254;Addetto di chimica e chimica farmaceutica;Oeillet d'Inde;Châbles FR;;
1255;Addetto di cucina;Racine de nid;Auboranges;;
1256;Addetto di macelleria;Oeillet d'Inde;Billens;;
1257;Addetto di ristorazione;Laitue du Nil;Hennens;;
1258;Addetto frutticolo e orticolo;Nielle des blés;Chapelle (Glâne);;
1259;Addetto installatore di sistemi di refrigerazione;Norne;Le Châtelard-près-Romont;;
1260;Addetto LAN;Noix;Châtonnaye;;
1261;Addetto missaggio suono;Oeil de bœuf;Ecublens FR;;
1262;Addetto operatore di edifici e infrastrutture;Oeillet d'Inde;Grangettes-près-Romont;;
1263;Addetto selvicoltore;Ohnhorn;Massonnens;;
1264;Addetto servizio sicurezza aerea;Olivier;Berlens;;
1265;Addetto sondatore;Orchidée;Mézières FR;;
1266;Addetto stampa;Olivier;Montet (Glâne);;
1267;Addetto tessile;Laurier-rose;Romont FR;;
1268;Adjoint de direction;Oliban;Promasens;;
1269;Adjoint de douane;Olivier;Gillarens;;
1270;Adjoint de police;Orant;Rue;;
1271;Adjoint du préfet;Origan;Blessens;;
1272;Adjoint garde-frontière;Osterluzei;Chavannes-les-Forts;;
1273;Adjoint juridique;Arbre de pagode;Prez-vers-Siviriez;;
1274;Adjoint Sales Promotion;Pamplemousse;Siviriez;;
1275;Adjoint-professeur d'université;Bois de Panama;Villaraboud;;
1276;Adjudant;Fleur de panthère;Ursy;;
1277;Adjudant de gendarmerie;Herbe de perroquet;Bionnens;;
1278;Adjudant garde-frontière;Papaye;Esmonts;;
1279;Adjudant sous-officier;Peuplier;Vuarmarens;;
1280;Adjunkt Sales Promotion;Passiflore;Morlens;;
1281;Adjunkt Zollwächter;Passiflore;Vauderens;;
1282;Adjutant;Passiflore;Mossel;;
1283;Adjutant-Unteroffizier;Panais;Villariaz;;
1284;Administrateur communal;Pélargonium;La Neirigue;;
1285;Administrateur d'arsenal;Baume du Pérou;Vuisternens-devant-Romont;;
1286;Administrateur d'association;pétasite;La Magne;;
1287;Administrateur de banque;Persil;Estévenens;;
1288;Administrateur de base de données;Pétunia;Sommentier;;
1289;Administrateur de biens immobiliers;Pfaffenhütchen;Lieffrens;;
1290;Administrateur de brevets;Menthe poivrée;La Joux FR;;
1291;Administrateur de caisse de pension;Pivoine;Les Ecasseys;;
1292;Administrateur de cimetière;Pivoine;Villarsiviriaux;;
1293;Administrateur de domaine (économie privée);Piment;Villargiroud;;
1294;Administrateur de fondation;Pimpinelle;Orsonnens;;
1295;Administrateur de home pour personnes âgées;Piment d'Inde;Chavannes-sous-Orsonnens;;
1296;Administrateur de marchandises;Piscidiacée;Torny-le-Grand;;
1297;Administrateur de paroisse;Pois de senteur;Middes;;
1298;Administrateur de réseau;Podophyllum;Villaz-St-Pierre;;
1299;Administrateur de stocks;Poméranie;Lussy FR;;
1300;Administrateur de titres bancaires;Poireau;Villarimboud;;
1301;Administrateur d'école;Pourpier;Albeuve;;
1302;Administrateur d'économie agricole;Pourpier;Lessoc;;
1303;Administrateur d'entreprise;Purpura;Les Sciernes-d'Albeuve;;
1304;Administrateur des domaines (administration publique);Saule pourpre;Neirivue;;
1305;Administrateur des données;Quebracho;Montbovon;;
1306;Administrateur des finances;Chiendent;Gumefens;;
1307;Administrateur d'établissement;Chiendent;Avry-devant-Pont;;
1308;Administrateur d'hôpital (administration publique);Quenouille;Le Bry;;
1309;Administrateur d'hôpital (économie privée);Quillaja;Botterens;;
1310;Administrateur du bâtiment;Coing;Villarbeney;;
1311;Administrateur du personnel;Arroche à roue;Broc;;
1312;Administrateur du registre foncier;Tanaisie;Bulle;;
1313;Administrateur d'une place d'armes;Saule de Rain;La Tour-de-Trême;;
