DIC_UID;DIC_Berufe;DIC_Lebewesen;DIC_Ortschaft;DIC_Gewässer;DIC_Berge
64;Augenoptiker, Augenoptikerin;Basilikum;Lufingen;Bodensee;Rotstein
65;Ausbaufacharbeiter, Ausbaufacharbeiterin;Baumwollpflanze;Nürensdorf;Lac de Neuchâtel;Saas
66;Autohändler, Autohändlerin;Becherpflanze;Oberembrach;Lago Maggiore;Safierberg
67;Automatenfachfrau, Automatenfachmann;Begonie;Glattbrugg;Vierwaldstättersee;Saflisch
68;Automechaniker, Automechanikerin;Beifuß;Opfikon;Zürichsee;San Giacomo
69;Automobilkauffrau, Automobilkaufmann;Beinbrech;Glattpark (Opfikon);Lago di Lugano;San Jorio
70;Autor, Autorin;Beinwell;Rafz;Thunersee;Sattelpass
71;Autoschlosser, Autoschlosserin;Benzoe;Rorbas;Bielersee;Scaletta
72;Autoverkäufer, Autoverkäuferin;Berberitze;Wallisellen;Zugersee;Schlappiner Joch
73;Bäcker, Bäckerin;Bergamotte;Wasterkingen;Brienzersee;Schnidejoch
74;Bäckereifachverkäuferin;Bertram;Wil ZH;Walensee;Schonegg
75;Bäckereiverkäufer, Bäckereiverkäuferin;Besenginster;Winkel;Murtensee;Schwialp
76;Backofenbauer, Backofenbauerin;Betelpfeffer;Bachs;Sempachersee;Segnes
77;Bademeister, Bademeisterin;Betonie;Boppelsen;Sihlsee;Septimer
78;Bader;Bibernelle;Buchs ZH;Hallwilersee;Sertig
79;Baggerfahrer, Baggerfahrerin;Bilsenkraut;Dällikon;Lac de la Gruyere;Soladier
80;Bahnangestellte, Bahnangestellter;Bingelkraut;Dänikon ZH;Lac de Joux;Soreda
81;Bandagist;Binse;Dielsdorf;Greifensee;Stallerberg
82;Bandreißer;Birke;Hüttikon;Sarnersee;Strela
83;Bankkauffrau, Bankkaufmann;Birne;Neerach;Ägerisee;Surenen
84;Barbier;Birngrün;Niederglatt ZH;Baldeggersee;Susanfe
85;Bardame;Bischofskraut;Niederhasli;Lago di Livigno;Tamier
86;Barfrau;Bitterling;Nassenwil;Wägitalersee;Theodul
87;Barkeeper;Bitterklee;Oberhasli;Lej da Segl;Tomül
88;Barmann;Bittersüß;Niederweningen;Lago di Lei;Torrent
89;Barmixer;Blasentang;Oberglatt ZH;Lac des Dix;Trescolmen
90;Barpianist;Blaukissen;Oberweningen;Schiffenensee;Trütlisberg
91;Bassist, Bassistin;Blauregen;Otelfingen;Lac d'Emosson;Urdenfürggli
92;Bauarbeiter, Bauarbeiterin;Blutwurz;Regensberg;Wohlensee;Valserberg
93;Bauer, Bäuerin;Braut in Haaren;Regensdorf;Klöntalersee;Vereina[2]
