;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;givenname;familyname;sex;birth;death;placebirth;placedeath;image
1774;10002143;Forbuck;;;;;;;;;;
1775;10002145;Grosswis;;;;;;;;;;
1776;10002146;Herrenwiese;;;;;;;;;;
1777;10002147;Höhen;;;;;;;;;;
1778;10002148;Dickloo;;;;;;;;;;
1779;10002149;Hof;http://www.wikidata.org/entity/Q21611391;Kevin van den Hof;Kevin;;männlich;1980-01-01T00:00:00Z;;;;
1780;10002150;Pünt;http://www.wikidata.org/entity/Q21606778;Wim Punt;Wim;Punt;männlich;1929-01-01T00:00:00Z;;;;
1781;10002151;Leewinkel;;;;;;;;;;
1782;10002152;Matten;http://www.wikidata.org/entity/Q36615390;L.C. Matten;;;;;;;;
1783;10002153;Rank;http://www.wikidata.org/entity/Q525935;Gustav Ränk;Gustav;Ränk;männlich;1902-02-18T00:00:00Z;1998-04-05T00:00:00Z;http://www.wikidata.org/entity/Q632864;http://www.wikidata.org/entity/Q1754;
1784;10002154;Sand;;;;;;;;;;
1785;10002155;Schmiede;;;;;;;;;;
1786;10002156;Zürcher;http://www.wikidata.org/entity/Q120198;Gerold Edlibach;Gerold;;männlich;1454-10-03T00:00:00Z;1530-09-07T00:00:00Z;http://www.wikidata.org/entity/Q72;http://www.wikidata.org/entity/Q72;
1787;10002157;Bach;http://www.wikidata.org/entity/Q1339;Johann Sebastian Bach;Sebastian;Bach;männlich;1685-03-31T00:00:00Z;1750-07-28T00:00:00Z;http://www.wikidata.org/entity/Q7070;http://www.wikidata.org/entity/Q2079;
1788;10002158;Dorf;http://www.wikidata.org/entity/Q5389800;Erling Dorf;Erling;Dorf;männlich;1905-07-19T00:00:00Z;1984-04-16T00:00:00Z;http://www.wikidata.org/entity/Q18355533;http://www.wikidata.org/entity/Q138518;
1789;10002159;Fasanen;;;;;;;;;;
1790;10002160;Grund;http://www.wikidata.org/entity/Q1996810;Norbert Grund;Norbert;Grund;männlich;1717-12-04T00:00:00Z;1761-07-17T00:00:00Z;http://www.wikidata.org/entity/Q1085;http://www.wikidata.org/entity/Q1085;
1791;10002161;Hüebli;;;;;;;;;;
1792;10002163;Mitteldorf;;;;;;;;;;
1793;10002164;Pünt;http://www.wikidata.org/entity/Q21606778;Wim Punt;Wim;Punt;männlich;1929-01-01T00:00:00Z;;;;
1794;10002165;Quer;http://www.wikidata.org/entity/Q957879;José Quer y Martínez;José;Quer;männlich;1695-01-26T00:00:00Z;1764-03-19T00:00:00Z;http://www.wikidata.org/entity/Q6730;http://www.wikidata.org/entity/Q2807;
1795;10002166;Schäracher;;;;;;;;;;
1796;10002167;Steinbrugg;;;;;;;;;;
1797;10002168;Wehntaler;;;;;;;;;;
1798;10002169;Berg;http://www.wikidata.org/entity/Q20066995;Ernst von Berg;Ernst;von Berg;männlich;1782-01-01T00:00:00Z;1855-01-01T00:00:00Z;;;
1799;10002170;Boppelser;;;;;;;;;;
1800;10002171;Brühlbach;;;;;;;;;;
1801;10002172;Bühl;;;;;;;;;;
1802;10002173;Nolli;http://www.wikidata.org/entity/Q233125;Lexi Belle;Lexi;Bell;weiblich;1987-08-05T00:00:00Z;;http://www.wikidata.org/entity/Q1661065;;
1803;10002174;Pavillon;;;;;;;;;;
1804;10002175;Quentli;;;;;;;;;;
1805;10002176;Rebberg;;;;;;;;;;
1806;10002177;Breitenacker;;;;;;;;;;
1807;10002178;Haltberg;;;;;;;;;;
1808;10002179;Heferen;;;;;;;;;;
1809;10002181;Hohen;;;;;;;;;;
1810;10002182;Rank;http://www.wikidata.org/entity/Q525935;Gustav Ränk;Gustav;Ränk;männlich;1902-02-18T00:00:00Z;1998-04-05T00:00:00Z;http://www.wikidata.org/entity/Q632864;http://www.wikidata.org/entity/Q1754;
1811;10002183;Jakob;http://www.wikidata.org/entity/Q41555;Jacques Offenbach;Jacques;Offenbach;männlich;1819-06-20T00:00:00Z;1880-10-05T00:00:00Z;http://www.wikidata.org/entity/Q365;http://www.wikidata.org/entity/Q90;
1812;10002184;Josenberg;;;;;;;;;;
1813;10002185;Kanzlei;;;;;;;;;;
1814;10002186;Kirch;http://www.wikidata.org/entity/Q102281568;Kirch;;;männlich;;;;;
1815;10002187;Mettlen;;;;;;;;;;
1816;10002188;Metzg;http://www.wikidata.org/entity/Q98282;Johann Christian Metzger;Johann;Metzger;männlich;1789-10-11T00:00:00Z;1852-09-15T00:00:00Z;http://www.wikidata.org/entity/Q7039;http://www.wikidata.org/entity/Q502755;
1817;10002189;Neufeld;http://www.wikidata.org/entity/Q1460472;Q1460472;Tamás;;männlich;1932-11-05T00:00:00Z;;http://www.wikidata.org/entity/Q1781;;
1818;10002190;Nordholz;;;;;;;;;;
1819;10002191;Oberfeld;;;;;;;;;;
1820;10002192;Heferen;;;;;;;;;;
1821;10002193;Platten;;;;;;;;;;
1822;10002194;Platten;;;;;;;;;;
1823;10002196;Rüti;http://www.wikidata.org/entity/Q40117;Rutina Wesley;;Wesley;weiblich;1978-12-21T00:00:00Z;;http://www.wikidata.org/entity/Q23768;;
1824;10002197;Schiblirai;;;;;;;;;;
1825;10002198;Schmittenbach;;;;;;;;;;
1826;10002199;Schüsselacher;;;;;;;;;;
1827;10002201;Silmatt;;;;;;;;;;
1828;10002202;Speer;http://www.wikidata.org/entity/Q1751073;Martin Speer;Martin;;männlich;1701-01-01T00:00:00Z;1765-10-28T00:00:00Z;http://www.wikidata.org/entity/Q2978;http://www.wikidata.org/entity/Q2978;
1829;10002203;Stampf;http://www.wikidata.org/entity/Q1338098;Emma Stämpfli-Studer;Emma;Studer;weiblich;1848-11-03T00:00:00Z;1930-01-30T00:00:00Z;http://www.wikidata.org/entity/Q70;http://www.wikidata.org/entity/Q70;
1830;10002204;Steinweid;;;;;;;;;;
1831;10002205;Stigweid;;;;;;;;;;
1832;10002206;Sunnematte;;;;;;;;;;
1833;10002207;Sunnerai;;;;;;;;;;
1834;10002208;Thalia;http://www.wikidata.org/entity/Q171235;Thalía;Ariadna;Sodi;weiblich;1971-08-26T00:00:00Z;;http://www.wikidata.org/entity/Q1489;;
1835;10002209;Tonacher;;;;;;;;;;
1836;10002210;Tüllros;;;;;;;;;;
1837;10002211;Unterbach;;;;;;;;;;
1838;10002212;Forhalden;;;;;;;;;;
1839;10002213;Unterpunt;;;;;;;;;;
1840;10002214;Waldegg;;;;;;;;;;
1841;10002215;Widenriet;;;;;;;;;;
1842;10002217;Altweid;;;;;;;;;;
1843;10002218;Hofacher;;;;;;;;;;
1844;10002219;Huebacher;;;;;;;;;;
1845;10002220;Winkel;;;;;;;;;;
1846;10002221;Schul;http://www.wikidata.org/entity/Q65685;Carl Heinrich Schultz;Carl;Schultz;männlich;1805-06-30T00:00:00Z;1867-12-17T00:00:00Z;http://www.wikidata.org/entity/Q16017;http://www.wikidata.org/entity/Q22951;
1847;10002222;Steinwiesli;;;;;;;;;;
1848;10002223;Strickel;;;;;;;;;;
1849;10002224;Wili;http://www.wikidata.org/entity/Q15472;William Hamilton;William;Hamilton;männlich;1751-01-01T00:00:00Z;1801-12-02T00:00:00Z;http://www.wikidata.org/entity/Q743535;http://www.wikidata.org/entity/Q84;
1850;10002225;Alpen;;;;;;;;;;
1851;10002226;Lendenbach;;;;;;;;;;
1852;10002227;Aubrig;;;;;;;;;;
1853;10002228;Bach;http://www.wikidata.org/entity/Q1339;Johann Sebastian Bach;Sebastian;Bach;männlich;1685-03-31T00:00:00Z;1750-07-28T00:00:00Z;http://www.wikidata.org/entity/Q7070;http://www.wikidata.org/entity/Q2079;
1854;10002229;Bachtel;;;;;;;;;;
1855;10002230;Binzacker;;;;;;;;;;
1856;10002231;Bol;http://www.wikidata.org/entity/Q144439;Bolesław Prus;Aleksander;Głowacki;männlich;1847-08-20T00:00:00Z;1912-05-19T00:00:00Z;http://www.wikidata.org/entity/Q924103;http://www.wikidata.org/entity/Q270;
1857;10002232;Dorf;http://www.wikidata.org/entity/Q5389800;Erling Dorf;Erling;Dorf;männlich;1905-07-19T00:00:00Z;1984-04-16T00:00:00Z;http://www.wikidata.org/entity/Q18355533;http://www.wikidata.org/entity/Q138518;
1858;10002233;Egg;http://www.wikidata.org/entity/Q2578242;Augustus Egg;Augustus;Egg;männlich;1816-05-02T00:00:00Z;1863-03-26T00:00:00Z;http://www.wikidata.org/entity/Q84;http://www.wikidata.org/entity/Q262;
1859;10002234;Emmetschloo;;;;;;;;;;
1860;10002235;Ettenhauser;;;;;;;;;;
1861;10002236;Flora;http://www.wikidata.org/entity/Q543948;Frans Floris I;Frans;;männlich;1517-01-01T00:00:00Z;1570-01-01T00:00:00Z;http://www.wikidata.org/entity/Q12892;http://www.wikidata.org/entity/Q12892;
1862;10002237;Giesserei;;;;;;;;;;
1863;10002238;Goldbühl;;;;;;;;;;
1864;10002239;Grundhalden;;;;;;;;;;
1865;10002240;Grund;http://www.wikidata.org/entity/Q1996810;Norbert Grund;Norbert;Grund;männlich;1717-12-04T00:00:00Z;1761-07-17T00:00:00Z;http://www.wikidata.org/entity/Q1085;http://www.wikidata.org/entity/Q1085;
1866;10002241;Grüninger;http://www.wikidata.org/entity/Q64831205;Hans-Albrecht Grüninger;Hans;Gruninger;männlich;1906-02-19T00:00:00Z;;http://www.wikidata.org/entity/Q4044;;
1867;10002242;Grüt;http://www.wikidata.org/entity/Q67838;Joy Gruttmann;Joy;;weiblich;1995-12-06T00:00:00Z;;http://www.wikidata.org/entity/Q2765;;
1868;10002243;Guldisloo;;;;;;;;;;
1869;10002244;Güetli;;;;;;;;;;
1870;10002245;Halden;http://www.wikidata.org/entity/Q24276615;Q24276615;Bruno;;männlich;1969-01-01T00:00:00Z;;;;
1871;10002246;Hirschwiesen;;;;;;;;;;
1872;10002247;Hof;http://www.wikidata.org/entity/Q21611391;Kevin van den Hof;Kevin;;männlich;1980-01-01T00:00:00Z;;;;
1873;10002248;Sandbühl;;;;;;;;;;
1874;10002249;Zil;http://www.wikidata.org/entity/Q44125;Diana Žiliūtė;Diana;;weiblich;1976-05-28T00:00:00Z;;http://www.wikidata.org/entity/Q712011;;
1875;10002250;Juhee;http://www.wikidata.org/entity/Q11560461;Q11560461;;;männlich;1889-12-27T00:00:00Z;1966-06-01T00:00:00Z;http://www.wikidata.org/entity/Q1490;;
1876;10002251;Kantonsschul;;;;;;;;;;
1877;10002252;Kirch;http://www.wikidata.org/entity/Q102281568;Kirch;;;männlich;;;;;
1878;10002253;Kratz;http://www.wikidata.org/entity/Q89168;Helmut Krätzl;Helmut;Krätzl;männlich;1931-01-01T00:00:00Z;;http://www.wikidata.org/entity/Q1741;;
1879;10002254;Leuthold;http://www.wikidata.org/entity/Q1247726;Leuthold von Seven;;;männlich;1300-01-01T00:00:00Z;1300-01-01T00:00:00Z;;;
1880;10002255;Meierwiesen;;;;;;;;;;
1881;10002256;Messikommer;;;;;;;;;;
1882;10002257;Mittel;;;;;;;;;;
1883;10002258;Morgen;;;;;;;;;;
1884;10002259;Morgental;;;;;;;;;;
1885;10002260;Nord;;;;;;;;;;
1886;10002261;Pappeln;;;;;;;;;;
1887;10002262;Post;http://www.wikidata.org/entity/Q577598;Pieter Post;Pieter;Post;männlich;1608-04-01T00:00:00Z;1669-05-01T00:00:00Z;http://www.wikidata.org/entity/Q9920;http://www.wikidata.org/entity/Q36600;
1888;10002263;Marbach;http://www.wikidata.org/entity/Q91146;Karl-Heinz Marbach;Albin;Marbach;männlich;1917-07-05T00:00:00Z;1995-09-27T00:00:00Z;http://www.wikidata.org/entity/Q110011;http://www.wikidata.org/entity/Q586;
1889;10002264;Park;http://www.wikidata.org/entity/Q219086;Mungo Park;Mungo;Park;männlich;1771-09-11T00:00:00Z;1806-01-01T00:00:00Z;http://www.wikidata.org/entity/Q22;http://www.wikidata.org/entity/Q635055;
1890;10002265;Würz;;;;;;;;;;
1891;10002266;Kastanien;;;;;;;;;;
1892;10002267;Kennel;http://www.wikidata.org/entity/Q96366;Julius von Kennel;Julius;;männlich;1854-06-10T00:00:00Z;1939-01-24T00:00:00Z;http://www.wikidata.org/entity/Q653296;http://www.wikidata.org/entity/Q1726;
1893;10002269;Langrüti;;;;;;;;;;
1894;10002270;Marbach;http://www.wikidata.org/entity/Q91146;Karl-Heinz Marbach;Albin;Marbach;männlich;1917-07-05T00:00:00Z;1995-09-27T00:00:00Z;http://www.wikidata.org/entity/Q110011;http://www.wikidata.org/entity/Q586;
1895;10002271;Mettli;http://www.wikidata.org/entity/Q18603508;Louis Mettling;Louis;Mettling;männlich;1847-01-01T00:00:00Z;1904-01-01T00:00:00Z;http://www.wikidata.org/entity/Q7003;http://www.wikidata.org/entity/Q220906;
1896;10002272;Meierwiesen;;;;;;;;;;
1897;10002273;Obstgarten;;;;;;;;;;
1898;10002274;Ried;;;;;;;;;;
1899;10002276;Schul;http://www.wikidata.org/entity/Q65685;Carl Heinrich Schultz;Carl;Schultz;männlich;1805-06-30T00:00:00Z;1867-12-17T00:00:00Z;http://www.wikidata.org/entity/Q16017;http://www.wikidata.org/entity/Q22951;
1900;10002278;Unterdorf;;;;;;;;;;
1901;10002279;Buchser;http://www.wikidata.org/entity/Q329490;Frank Buchser;Frank;Buchser;männlich;1828-08-15T00:00:00Z;1890-11-22T00:00:00Z;http://www.wikidata.org/entity/Q66969;http://www.wikidata.org/entity/Q66969;
1902;10002280;Breiten;;;;;;;;;;
1903;10002281;Chilenau;;;;;;;;;;
1904;10002282;Chrähgass;;;;;;;;;;
1905;10002283;Grundacher;;;;;;;;;;
1906;10002284;Hörnli;;;;;;;;;;
1907;10002285;Sytenacher;;;;;;;;;;
1908;10002286;Bächlere;;;;;;;;;;
1909;10002287;Linden;http://www.wikidata.org/entity/Q781362;Jean Linden;Jean;Linden;männlich;1817-02-03T00:00:00Z;1898-01-12T00:00:00Z;http://www.wikidata.org/entity/Q1842;http://www.wikidata.org/entity/Q9005;
1910;10002288;Längg;http://www.wikidata.org/entity/Q68501;Elisabeth Langgässer;Elisabeth;;weiblich;1899-02-23T00:00:00Z;1950-07-25T00:00:00Z;http://www.wikidata.org/entity/Q450726;http://www.wikidata.org/entity/Q1040;
1911;10002289;Mühle;;;;;;;;;;
1912;10002290;Quer;http://www.wikidata.org/entity/Q957879;José Quer y Martínez;José;Quer;männlich;1695-01-26T00:00:00Z;1764-03-19T00:00:00Z;http://www.wikidata.org/entity/Q6730;http://www.wikidata.org/entity/Q2807;
1913;10002291;Rai;http://www.wikidata.org/entity/Q44426;Rainer Werner Fassbinder;Werner;Fassbinder;männlich;1945-05-31T00:00:00Z;1982-06-10T00:00:00Z;http://www.wikidata.org/entity/Q504579;http://www.wikidata.org/entity/Q1726;
1914;10002292;Reb;http://www.wikidata.org/entity/Q18804;Rebecca Black;Rebecca;Black;weiblich;1997-06-21T00:00:00Z;;http://www.wikidata.org/entity/Q49219;;
1915;10002293;Römer;http://www.wikidata.org/entity/Q89066;Ilse Maria Aschner;Ilse;;weiblich;1918-09-26T00:00:00Z;2012-10-10T00:00:00Z;http://www.wikidata.org/entity/Q1741;http://www.wikidata.org/entity/Q1741;
1916;10002294;Trauben;;;;;;;;;;
1917;10002295;Vortauen;;;;;;;;;;
1918;10002296;Chriesi;;;;;;;;;;
1919;10002297;Furtbach;;;;;;;;;;
1920;10002298;Haupt;http://www.wikidata.org/entity/Q21515586;Arthur Wing Haupt;Arthur;;männlich;1874-01-01T00:00:00Z;;;;
1921;10002299;Bungertacher;;;;;;;;;;
1922;10002301;Letten;http://www.wikidata.org/entity/Q1700835;John Lettengarver;John;;männlich;1929-04-29T00:00:00Z;1997-01-14T00:00:00Z;http://www.wikidata.org/entity/Q28848;http://www.wikidata.org/entity/Q1055845;
1923;10002302;Mühle;;;;;;;;;;
1924;10002303;Mühle;;;;;;;;;;
1925;10002304;halden;http://www.wikidata.org/entity/Q24276615;Q24276615;Bruno;;männlich;1969-01-01T00:00:00Z;;;;
1926;10002306;Trauben;;;;;;;;;;
1927;10002307;Bahnhof;;;;;;;;;;
1928;10002308;Breite;;;;;;;;;;
1929;10002309;Brunnwiesen;;;;;;;;;;
1930;10002310;Brüel;http://www.wikidata.org/entity/Q171530;Patrick Bruel;Patrick;Bruel;männlich;1959-05-14T00:00:00Z;;http://www.wikidata.org/entity/Q185134;;
1931;10002311;Bünt;http://www.wikidata.org/entity/Q7546;Ingmar Bergman;Ernst;Bergman;männlich;1918-07-14T00:00:00Z;2007-07-30T00:00:00Z;http://www.wikidata.org/entity/Q25286;http://www.wikidata.org/entity/Q1004693;
1932;10002314;Geissacker;;;;;;;;;;
1933;10002315;Hagenacker;;;;;;;;;;
1934;10002316;Heu;http://www.wikidata.org/entity/Q61968;Theodor von Heuglin;Theodor;;männlich;1824-03-20T00:00:00Z;1876-11-05T00:00:00Z;http://www.wikidata.org/entity/Q61658;http://www.wikidata.org/entity/Q1022;
1935;10002317;Höhen;;;;;;;;;;
1936;10002318;Bürgli;http://www.wikidata.org/entity/Q272979;Burglinde Pollak;Burglinde;Pollak;weiblich;1951-06-10T00:00:00Z;;http://www.wikidata.org/entity/Q525686;;
1937;10002319;acher;http://www.wikidata.org/entity/Q2823019;Achero Mañas;;Mañas;männlich;1966-09-05T00:00:00Z;;http://www.wikidata.org/entity/Q2807;;
1938;10002320;Löwen;http://www.wikidata.org/entity/Q75760;Curt Lowens;Kurt;Löwenstein;männlich;1925-11-17T00:00:00Z;2017-05-08T00:00:00Z;http://www.wikidata.org/entity/Q82765;http://www.wikidata.org/entity/Q127856;
1939;10002321;Mühle;;;;;;;;;;
1940;10002322;Pelzwiesen;;;;;;;;;;
1941;10002323;Ruchwiesen;;;;;;;;;;
1942;10002324;Sandbuck;;;;;;;;;;
1943;10002325;Schneggen;;;;;;;;;;
1944;10002326;Schwändi;;;;;;;;;;
1945;10002327;Säge;http://www.wikidata.org/entity/Q440932;Sage Stallone;Sage;Stallone;männlich;1976-05-05T00:00:00Z;2012-07-13T00:00:00Z;http://www.wikidata.org/entity/Q65;http://www.wikidata.org/entity/Q3143067;
1946;10002328;Wehntaler;;;;;;;;;;
1947;10002329;Wydacker;;;;;;;;;;
1948;10002330;Birken;;;;;;;;;;
1949;10002331;Brunnenwis;;;;;;;;;;
1950;10002332;Fohren;;;;;;;;;;
1951;10002333;Hal;;;;;;;;;;
1952;10002334;Hofwiesen;;;;;;;;;;
1953;10002335;Otelfinger;;;;;;;;;;
1954;10002336;Reb;http://www.wikidata.org/entity/Q18804;Rebecca Black;Rebecca;Black;weiblich;1997-06-21T00:00:00Z;;http://www.wikidata.org/entity/Q49219;;
1955;10002337;Stockrüti;;;;;;;;;;
1956;10002338;Feld;http://www.wikidata.org/entity/Q47117115;J. Feld;;;;;;;;
1957;10002339;Föxen;;;;;;;;;;
1958;10002340;Geeri;http://www.wikidata.org/entity/Q1681787;Jan Geerits;Jan;;männlich;1958-03-22T00:00:00Z;;http://www.wikidata.org/entity/Q275863;;
1959;10002341;Heichel;;;;;;;;;;
1960;10002342;Müsegg;;;;;;;;;;
1961;10002343;Neubrunnen;;;;;;;;;;
1962;10002344;Chaseren;;;;;;;;;;
1963;10002345;Pfäfferberg;;;;;;;;;;
1964;10002346;Renn;http://www.wikidata.org/entity/Q230815;Rennae Stubbs;;;weiblich;1971-03-26T00:00:00Z;;http://www.wikidata.org/entity/Q3130;;
1965;10002347;Rothus;;;;;;;;;;
1966;10002348;Schlieregg;;;;;;;;;;
1967;10002349;Siten;http://www.wikidata.org/entity/Q7531809;Sitenilesili Mafi;;;männlich;;;;;
1968;10002354;Chapf;http://www.wikidata.org/entity/Q111295044;Q111295044;;;;;;;;
1969;10002355;Unterdorf;;;;;;;;;;
1970;10002357;Kurhaus;;;;;;;;;;
1971;10002358;Lerchenberg;;;;;;;;;;
1972;10002359;Pflugstein;;;;;;;;;;
1973;10002360;Post;http://www.wikidata.org/entity/Q577598;Pieter Post;Pieter;Post;männlich;1608-04-01T00:00:00Z;1669-05-01T00:00:00Z;http://www.wikidata.org/entity/Q9920;http://www.wikidata.org/entity/Q36600;
1974;10002361;Rank;http://www.wikidata.org/entity/Q525935;Gustav Ränk;Gustav;Ränk;männlich;1902-02-18T00:00:00Z;1998-04-05T00:00:00Z;http://www.wikidata.org/entity/Q632864;http://www.wikidata.org/entity/Q1754;
1975;10002362;Reb;http://www.wikidata.org/entity/Q18804;Rebecca Black;Rebecca;Black;weiblich;1997-06-21T00:00:00Z;;http://www.wikidata.org/entity/Q49219;;
1976;10002363;Rüti;http://www.wikidata.org/entity/Q40117;Rutina Wesley;;Wesley;weiblich;1978-12-21T00:00:00Z;;http://www.wikidata.org/entity/Q23768;;
1977;10002364;Sandfelsen;;;;;;;;;;
1978;10002365;See;;;;;;;;;;
1979;10002366;Spitzli;;;;;;;;;;
1980;10002367;Weinberg;http://www.wikidata.org/entity/Q33698697;F. Weinberg;;;;;1929-01-01T00:00:00Z;;;
1981;10002368;Rhihalden;;;;;;;;;;
1982;10002369;Salomon Landolt;http://www.wikidata.org/entity/Q121376;Salomon Landolt;Salomon;Landolt;männlich;1741-12-10T00:00:00Z;1818-11-26T00:00:00Z;http://www.wikidata.org/entity/Q72;http://www.wikidata.org/entity/Q68423;
1983;10002371;Stampfi;;;;;;;;;;
1984;10002372;Wiler;;;;;;;;;;
1985;10002373;Winkel;;;;;;;;;;
1986;10002374;Embraport;;;;;;;;;;
1987;10002375;Schützenhaus;;;;;;;;;;
1988;10002376;Berghof;http://www.wikidata.org/entity/Q1895273;Margit Berghof-Becker;Margit;;weiblich;1959-12-13T00:00:00Z;;http://www.wikidata.org/entity/Q4165;;
1989;10002377;Berg;http://www.wikidata.org/entity/Q20066995;Ernst von Berg;Ernst;von Berg;männlich;1782-01-01T00:00:00Z;1855-01-01T00:00:00Z;;;
1990;10002378;Blauen;http://www.wikidata.org/entity/Q1819593;Leopold Blauensteiner;Leopold;;männlich;1880-01-16T00:00:00Z;1947-02-19T00:00:00Z;http://www.wikidata.org/entity/Q1741;http://www.wikidata.org/entity/Q1741;
1991;10002379;Brand;http://www.wikidata.org/entity/Q685519;Johann Christian Brand;Johann;Brand;männlich;1722-03-06T00:00:00Z;1795-06-12T00:00:00Z;http://www.wikidata.org/entity/Q1741;http://www.wikidata.org/entity/Q1741;
1992;10002380;Chli;;;;;;;;;;
1993;10002381;Ebnet;http://www.wikidata.org/entity/Q21286616;Lajos D'Ebneth;Lajos;;männlich;1902-05-13T00:00:00Z;1982-10-14T00:00:00Z;;http://www.wikidata.org/entity/Q2868;
1994;10002382;Fabrik;;;;;;;;;;
1995;10002383;Fehren;http://www.wikidata.org/entity/Q77156;Constantin Fehrenbach;Constantin;Fehrenbach;männlich;1852-01-11T00:00:00Z;1926-03-26T00:00:00Z;http://www.wikidata.org/entity/Q178703;http://www.wikidata.org/entity/Q2833;
1996;10002384;Hardsteig;;;;;;;;;;
1997;10002385;Haumühle;;;;;;;;;;
1998;10002386;Heidegghof;;;;;;;;;;
1999;10002387;Illinger;;;;;;;;;;
2000;10002388;Illinger;;;;;;;;;;
2001;10002389;Chängel;;;;;;;;;;
2002;10002390;Gstein;;;;;;;;;;
2003;10002391;Langwise;;;;;;;;;;
2004;10002392;Industrie;;;;;;;;;;
2005;10002393;Kellersacker;;;;;;;;;;
2006;10002394;Lagerhaus;;;;;;;;;;
2007;10002395;Lochacker;;;;;;;;;;
2008;10002396;Pfarrhaus;;;;;;;;;;
2009;10002397;Riet;http://www.wikidata.org/entity/Q1370177;Johannes Baptista Rietstap;Johannes;;männlich;1828-05-12T00:00:00Z;1891-12-24T00:00:00Z;http://www.wikidata.org/entity/Q34370;http://www.wikidata.org/entity/Q36600;
2010;10002398;Roggenfeld;;;;;;;;;;
2011;10002399;Rosen;http://www.wikidata.org/entity/Q1682174;Jan Rosen;Jan;Rosen;männlich;1854-10-16T00:00:00Z;1936-11-08T00:00:00Z;http://www.wikidata.org/entity/Q270;http://www.wikidata.org/entity/Q270;
2012;10002400;Schützenhaus;;;;;;;;;;
2013;10002401;Stations;;;;;;;;;;
2014;10002402;Steinacker;http://www.wikidata.org/entity/Q1286870;Edmund Steinacker;Edmund;Steinacker;männlich;1838-08-23T00:00:00Z;1929-03-19T00:00:00Z;http://www.wikidata.org/entity/Q79880;http://www.wikidata.org/entity/Q487522;
2015;10002403;Talegg;;;;;;;;;;
2016;10002404;Tannen;;;;;;;;;;
2017;10002405;Wingert;;;;;;;;;;
2018;10002406;Winkler;http://www.wikidata.org/entity/Q2886110;Moritz Winkler;Moritz;Winkler;männlich;1812-02-13T00:00:00Z;1889-12-21T00:00:00Z;;;
2019;10002407;Breite;;;;;;;;;;
2020;10002409;Gupfe;;;;;;;;;;
2021;10002410;Hagacker;;;;;;;;;;
2022;10002411;Hubwies;;;;;;;;;;
2023;10002414;Obstgarten;;;;;;;;;;
2024;10002416;Weiher;http://www.wikidata.org/entity/Q92348836;Q92348836;Evan;Weiher;männlich;1961-01-01T00:00:00Z;;;;
2025;10002418;Halden;http://www.wikidata.org/entity/Q24276615;Q24276615;Bruno;;männlich;1969-01-01T00:00:00Z;;;;
2026;10002419;Langen;;;;;;;;;;
2027;10002420;Buck;http://www.wikidata.org/entity/Q265252;Buckethead;Brian;Carroll;männlich;1969-05-13T00:00:00Z;;http://www.wikidata.org/entity/Q5917;;
2028;10002421;Under;http://www.wikidata.org/entity/Q44304;The Undertaker;Mark;Calaway;männlich;1965-03-24T00:00:00Z;;http://www.wikidata.org/entity/Q16555;;
2029;10002423;Bahn;;;;;;;;;;
2030;10002424;Berghalden;;;;;;;;;;
2031;10002425;Berg;http://www.wikidata.org/entity/Q20066995;Ernst von Berg;Ernst;von Berg;männlich;1782-01-01T00:00:00Z;1855-01-01T00:00:00Z;;;
2032;10002426;Birken;;;;;;;;;;
2033;10002427;Bäcker;http://www.wikidata.org/entity/Q19032;Jacob Adriaensz. Backer;Jakob;Backer;männlich;1608-01-01T00:00:00Z;1651-08-27T00:00:00Z;http://www.wikidata.org/entity/Q60475;http://www.wikidata.org/entity/Q727;
2034;10002428;Büel;http://www.wikidata.org/entity/Q1001724;Buell Neidlinger;Buell;Neidlinger;männlich;1936-03-02T00:00:00Z;2018-03-16T00:00:00Z;http://www.wikidata.org/entity/Q60;http://www.wikidata.org/entity/Q360141;
2035;10002429;Büel;http://www.wikidata.org/entity/Q1001724;Buell Neidlinger;Buell;Neidlinger;männlich;1936-03-02T00:00:00Z;2018-03-16T00:00:00Z;http://www.wikidata.org/entity/Q60;http://www.wikidata.org/entity/Q360141;
2036;10002430;Chilen;;;;;;;;;;
2037;10002431;Dorf;http://www.wikidata.org/entity/Q5389800;Erling Dorf;Erling;Dorf;männlich;1905-07-19T00:00:00Z;1984-04-16T00:00:00Z;http://www.wikidata.org/entity/Q18355533;http://www.wikidata.org/entity/Q138518;
2038;10002432;Dörfli;;;;;;;;;;
2039;10002433;Ebnet;http://www.wikidata.org/entity/Q21286616;Lajos D'Ebneth;Lajos;;männlich;1902-05-13T00:00:00Z;1982-10-14T00:00:00Z;;http://www.wikidata.org/entity/Q2868;
2040;10002434;Emmer;http://www.wikidata.org/entity/Q84796;Carl Emmermann;Carl;Emmermann;männlich;1915-03-06T00:00:00Z;1990-03-25T00:00:00Z;http://www.wikidata.org/entity/Q1055;http://www.wikidata.org/entity/Q3933;
2041;10002435;Frieden;http://www.wikidata.org/entity/Q151836;Friedensreich Hundertwasser;;;männlich;1928-12-15T00:00:00Z;2000-02-19T00:00:00Z;http://www.wikidata.org/entity/Q1741;http://www.wikidata.org/entity/Q664;
2042;10002436;Fränzli;http://www.wikidata.org/entity/Q1471289;Fränzli Waser;Fränzli;Waser;männlich;1858-01-01T00:00:00Z;1895-12-24T00:00:00Z;http://www.wikidata.org/entity/Q11925;;
