;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;sex;birth;death;placebirth;placedeath
156;10000194;Lerchen;;;;;;;
157;10000196;Oelebach;;;;;;;
158;10000197;Post;;;;;;;
159;10000200;Schloss;;;;;;;
160;10000201;Schul;;;;;;;
161;10000202;Stockhorn;;;;;;;
162;10000203;Turn;;;;;;;
163;10000204;Lyss;;;;;;;
164;10000205;Amsel;;;;;;;
165;10000206;Bahn;;;;;;;
166;10000208;Feld;;;;;;;
167;10000209;Finken;;;;;;;
168;10000211;Haupt;;;;;;;
169;10000212;Hofacher;;;;;;;
170;10000213;Mösli;;;;;;;
171;10000214;Ribibach;;;;;;;
172;10000215;Schulhaus;;;;;;;
173;10000216;Steiner;;;;;;;
174;10000217;Storchen;;;;;;;
175;10000218;Waldboden;;;;;;;
176;10000219;Zälgli;;;;;;;
177;10000221;Jegenstorf;;;;;;;
178;10000222;Aspli;;;;;;;
179;10000223;Dorf;;;;;;;
180;10000225;Schulhaus;;;;;;;
181;10000226;Weid;;;;;;;
182;10000227;Wiler;;;;;;;
183;10000228;Grabacher;;;;;;;
184;10000230;Feld;;;;;;;
185;10000231;Schwallmatt;;;;;;;
186;10000232;Alte;;;;;;;
187;10000233;Aebi;;;;;;;
188;10000234;Ahorn;;;;;;;
189;10000235;Ausserschwand;;;;;;;
190;10000236;Birken;;;;;;;
191;10000237;Boden;;;;;;;
192;10000238;Egernschwand;;;;;;;
193;10000240;Fichten;;;;;;;
194;10000241;Fitzer;;;;;;;
195;10000242;Fuhren;;;;;;;
196;10000243;Föhren;;;;;;;
197;10000244;Hasel;;;;;;;
198;10000245;Hohliebe;;;;;;;
199;10000246;Holand;;;;;;;
200;10000247;Holzachseggen;;;;;;;
201;10000248;Land;;;;;;;
202;10000249;Laser;;;;;;;
203;10000250;Lischen;;;;;;;
204;10000251;Matten;;;;;;;
205;10000252;Neu;;;;;;;
206;10000253;Kurhaus;;;;;;;
207;10000254;Hirzboden;;;;;;;
208;10000255;Ruhe;;;;;;;
209;10000256;Schlegeli;;;;;;;
210;10000257;Schmitten;;;;;;;
211;10000258;Schul;;;;;;;
212;10000259;Schwendli;;;;;;;
213;10000260;Sunne;;;;;;;
214;10000261;Tannen;;;;;;;
215;10000280;Denkmal;;;;;;;
216;10000281;Drusberg;;;;;;;
217;10000282;Emdwiesen;;;;;;;
218;10000283;Falken;;;;;;;
219;10000284;Feldhof;;;;;;;
220;10000285;Flora;;;;;;;
221;10000286;Speer;;;;;;;
222;10000287;Speer;;;;;;;
223;10000288;Spital;;;;;;;
224;10000289;Stein;;;;;;;
225;10000290;Steinwiesen;;;;;;;
226;10000291;Säntis;;;;;;;
227;10000292;Tannenberg;;;;;;;
228;10000293;Trümmlen;;;;;;;
229;10000294;Tunnel;;;;;;;
230;10000295;Täusi;;;;;;;
231;10000296;Walder;;;;;;;
232;10000297;Weier;;;;;;;
233;10000298;Werk;;;;;;;
234;10000299;Widacher;;;;;;;
235;10000300;Wiesental;;;;;;;
236;10000301;Wiesriedt;;;;;;;
237;10000302;Würzhalden;;;;;;;
238;10000303;Zelghalde;;;;;;;
239;10000304;Etstel;;;;;;;
240;10000306;Mythen;;;;;;;
241;10000307;Steinberg;;;;;;;
242;10000308;Zürich;;;;;;;
243;10000309;Amslen;;;;;;;
244;10000317;Tanneregg;;;;;;;
245;10000318;Asyl;;;;;;;
246;10000319;Badstock;;;;;;;
247;10000320;Bahnhof;;;;;;;
248;10000321;Binzholz;;;;;;;
249;10000322;Birken;;;;;;;
250;10000323;Blumen;;;;;;;
251;10000324;Brüglen;;;;;;;
252;10000325;Buchen;;;;;;;
253;10000326;Chefi;;;;;;;
254;10000327;Chrinnen;;;;;;;
255;10000328;Dachsegg;;;;;;;
256;10000329;Diezikoner;;;;;;;
257;10000330;Elba;;;;;;;
258;10000331;Etzel;;;;;;;
259;10000332;Felsegg;;;;;;;
260;10000333;Ferchacher;;;;;;;
261;10000334;Friedhof;;;;;;;
262;10000335;Garten;;;;;;;
263;10000336;Gerbi;;;;;;;
264;10000337;Grossweiher;;;;;;;
265;10000339;Grund;;;;;;;
266;10000341;Hagenacher;;;;;;;
267;10000345;Säntis;;;;;;;
268;10000346;Weidholz;;;;;;;
269;10000349;Zelgli;;;;;;;
270;10000350;Allenberg;;;;;;;
271;10000351;Salen;;;;;;;
272;10000352;Bahnhofwiese;;;;;;;
273;10000353;Bauertacher;;;;;;;
