;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;sex;birth;death;placebirth;placedeath;image
1176;10022872;Pontets;;;;;;;;
1177;10022873;Onnens;;;;;;;;
1178;10022874;Chavailles;;;;;;;;
1179;10022875;Verna;http://www.wikidata.org/entity/Q16620826;Verna;masculin;;;;;
1180;10022876;Brevires;;;;;;;;
1181;10022877;Rialets;;;;;;;;
1182;10022878;Centre;;;;;;;;
1183;10022879;Trimbie;;;;;;;;
1184;10022880;Cle;;;;;;;;
1185;10022881;Chene;;;;;;;;
1186;10022882;Esserts;;;;;;;;
1187;10022883;Pre Neuf;;;;;;;;
1188;10022884;Village;;;;;;;;
1189;10022885;Molleyre;;;;;;;;
1190;10022886;Creux;;;;;;;;
1191;10022887;Gerasses;;;;;;;;
1192;10022888;Palaz;;;;;;;;
1193;10022889;Bresil;;;;;;;;
1194;10022890;Pontet;;;;;;;;
1195;10022891;Pra Amont;;;;;;;;
1196;10022892;Pralet;;;;;;;;
1197;10022894;Pala Amont;;;;;;;;
1198;10022895;Village Amont;;;;;;;;
1199;10022896;Fenetta;;;;;;;;
1200;10022897;Vers Pilloud;;;;;;;;
1201;10022898;Bietschland;;;;;;;;
1202;10022899;Bise;;;;;;;;
1203;10022900;Riedera;;;;;;;;
1204;10022901;Gruyere;;;;;;;;
1205;10022904;Errouvenoux;;;;;;;;
1206;10022905;Cote;;;;;;;;
1207;10022906;Longivue;;;;;;;;
1208;10022907;Pra Bastian;;;;;;;;
1209;10022908;Chapelle;http://www.wikidata.org/entity/Q62085197;Chapelle;masculin;;;;;
1210;10022909;Foret;;;;;;;;
1211;10022910;Cerisiers;;;;;;;;
1212;10022911;Jura;;;;;;;;
1213;10022955;Sebastien;;;;;;;;
1214;10022956;Falaises;;;;;;;;
1215;10022957;Geais;;;;;;;;
1216;10022958;Mesanges;;;;;;;;
1217;10022959;Narcisses;;;;;;;;
1218;10022961;Bel Air;;;;;;;;
1219;10022962;Chesalles;;;;;;;;
1220;10022963;Corbaroche;;;;;;;;
